7 Main DC's HC Review,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Week,Period,Dept HC,Terminations,Hires,WC/LOA,Final HC,HC Need,,Definitions,,,,,,,,,60 DAY ,RKD,ADV,LPT,MSQ,RED,ECR
2026-03-28 00:00:00,MAR,1568,15,36,30,1559,-23,,"Dept HC: SUM of Direct Labor Associates (Shipping, Ecom, CG/UPH Rec, UPH-LC, Transfers)
Terminations: Forecasted Terminations Based Off Historical Data For Direct Labor Associates
Hires: Requested Hires for Direct Labor Associates
WC/LOA: Active Direct Labor Associates WC/LOA
Working HC: (Dept HC - (Terminations+ WC/LOA))  + Hires
HC Need: Current Week Working HC - Fiscal Week Working HC",,,,,,,,,Horizon Hiring Needs,48.230769230769226,89.3076923076923,36.38461538461539,38.76923076923077,72.38461538461539,120.23076923076923
2026-04-04 00:00:00,APR,1587,22,45,28,1582,-38,,,,,,,,,,,Net Hiring Needs,23,13,5,0,9,31
2026-04-11 00:00:00,APR,1610,22,39,30,1597,-37,,,,,,,,,,,Turnover Hiring Needs,25.23076923076923,76.3076923076923,31.384615384615383,38.76923076923077,63.38461538461539,89.23076923076923
2026-04-18 00:00:00,APR,1627,26,23,28,1596,-34,,,,,,,,,,,,,,,,,
2026-04-25 00:00:00,APR,1623,25,23,28,1593,-48,,,,,,,,,,,,,,,,,
2026-05-02 00:00:00,MAY,1626,25,34,28,1607,-52,,,,,,,,,,,,,,,,,
2026-05-09 00:00:00,MAY,1633,26,32,28,1611,-52,,,,,,,,,,,,,,,,,
2026-05-16 00:00:00,MAY,1637,27,29,28,1611,-68,,,,,,,,,,,,,,,,,
2026-05-23 00:00:00,MAY,1649,25,31,28,1627,-75,,,,,,,,,,,,,,,,,
2026-05-30 00:00:00,MAY,1655,24,31,28,1634,-78,,,,,,,,,,,,,,,,,
2026-06-06 00:00:00,JUN,1662,24,27,28,1637,-74,,,,,,,,,,,,,,,,,
2026-06-13 00:00:00,JUN,1665,26,22,28,1633,-70,,,,,,,,,,,,,,,,,
2026-06-20 00:00:00,JUN,1661,26,22,28,1629,-67,,,,,,,,,,,,,,,,,
2026-06-27 00:00:00,JUN,1657,24,21,28,1626,-60,,,,,,,,,,,,,,,,,
2026-07-04 00:00:00,JUL,1654,28,21,28,1619,-55,,,,,,,,,,,,,,,,,
2026-07-11 00:00:00,JUL,1647,28,23,28,1614,-54,,,,,,,,,,,,,,,,,
2026-07-18 00:00:00,JUL,1642,26,25,28,1613,-52,,,,,,,,,,,,,,,,,
2026-07-25 00:00:00,JUL,1641,26,24,28,1611,-53,,,,,,,,,,,,,,,,,
2026-08-01 00:00:00,AUG,1639,24,25,28,1612,-51,,,,,,,,,,,,,,,,,
2026-08-08 00:00:00,AUG,1640,25,23,28,1610,-51,,,,,,,,,,,,,,,,,
2026-08-15 00:00:00,AUG,1638,23,23,28,1610,-51,,,,,,,,,,,,,,,,,
2026-08-22 00:00:00,AUG,1638,26,26,28,1610,-57,,,,,,,,,,,,,,,,,
2026-08-29 00:00:00,AUG,1638,23,29,28,1616,-60,,,,,,,,,,,,,,,,,
2026-09-05 00:00:00,SEP,1644,25,28,28,1619,-,,,,,,,,,,,,,,,,,
