Case Good Receive,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,17,Unnamed: 31,Unnamed: 32,17.1,CG - Receiving
CG Receive Invoice Potential,,,,,,,CG Receive HC Review,,,,,,,,CG Receive Capacity Review,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40 Hours,,,,,,45 Hours,,,50 Hours,,,55 Hours,,,,,,,
Week,Period,PCS FCST,4 WK Average,PO,TO,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,Daily Working Hours,Weekly Working Hours,OT%,Total Hours,Capacity (40),Weekly Working Hours,Total Hours,Capacity (45),Weekly Working Hours,Total Hours,Capacity (50),Weekly Working Hours,Total Hours,Capacity (55),,,,,
2026-02-21 00:00:00,FEB,64979,61274.5,,,,58.834,1,2,1,20.1175,,78.95150000000001,,20.58,,,0.2548,3158.06,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,62073,58541,,,,56.14575,2,3,1,17.80075,,73.9465,,20.99,,,0.2407,2957.86,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,56296,43022.75,,,,52.884249999999994,0,0,1,8.18825,,61.07249999999999,,23.04,,,0.1341,2442.9,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,61750,38189.75,,,,57.03525,3,1,1,17.47625,,74.5115,,20.72,,,0.2345,2980.46,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,54045,34872.25,,,,0,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,0,29704,58,19,,,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04 00:00:00,APR,36964,46171.25,117,32,,60,2,0,1,0,0.13,51.2,,20.5,10,40,,2048,41984,45,2304,47232,50,2560,52480,55,2816,57728,5020.0,6.121951219512195,,,
