Week Ending Date,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Unnamed: 10,Date,Total Adjusted OB Volume,Billable ,Ecomm
2026-03-07 00:00:00,61730.003,14800127.74,239.75582408444077,9460,1528712.63,161.59752959830865,71190.003,16328840.370000001,229.36985084829962,,2026-03-28 00:00:00,62253.0,51987.0,10266.0
2026-02-28 00:00:00,58750.028,14698313.8,250.18394544424729,10144,1590861.29,156.82780855678234,68894.02799999999,16289175.09,236.43812915104922,,2026-04-04 00:00:00,69778.0,59278.0,10500.0
2026-02-21 00:00:00,60239.004,15546457.27,258.07958694004964,11909,1793825.77,150.62774120413133,72148.004,17340283.04,240.3432122668286,,2026-04-11 00:00:00,61897.0,53245.0,8652.0
2026-02-14 00:00:00,59804.011,14148730.71,236.58497939210133,8420,1347769.79,160.06767102137766,68224.011,15496500.5,227.14144584668293,,2026-04-18 00:00:00,62080.0,53734.0,8346.0
2026-02-07 00:00:00,49750.998,11979696.31,240.79308539700048,6612,1130442.03,170.9682441016334,56362.998,13110138.34,232.60186301658405,,2026-04-25 00:00:00,61893.0,53628.0,8265.0
2026-01-31 00:00:00,42722.998,10678604.6,249.94979518993495,7132,1241057.44,174.01254066180593,49854.998,11919662.04,239.08660150783678,,2026-05-02 00:00:00,70140.0,60819.0,9321.0
2026-01-24 00:00:00,63171.002,15342704.95,242.8757572976284,7245,1118299.2,154.35461697722567,70416.00200000001,16461004.149999999,233.76794595637503,,2026-05-09 00:00:00,61837.0,51991.0,9846.0
2026-01-17 00:00:00,56941.016,13927390.24,244.5932864984355,8513,1287566.42,151.24708328438857,65454.016,15214956.66,232.45260703331022,,2026-05-16 00:00:00,60488.0,51012.0,9476.0
2026-01-10 00:00:00,57344.009,13784691.73,240.38590901448833,9353,1496849.68,160.03952528600448,66697.00899999999,15281541.41,229.11884114623493,,2026-05-23 00:00:00,64467.0,53204.0,11263.0
2026-01-03 00:00:00,39119.021,9870063.52,252.30855138220355,9868,1465771.51,148.53785062829348,48987.021,11335835.03,231.40486599501529,,2026-05-30 00:00:00,76522.0,62629.0,13893.0
2025-12-27 00:00:00,41732.019,10129394.84,242.72477303338715,7526,1092538.54,145.16855434493755,49258.019,11221933.379999999,227.8194212398188,,2026-06-06 00:00:00,61296.0,52196.0,9100.0
2025-12-20 00:00:00,61119.041,14646852.94,239.64467865259863,8643,1241683.33,143.66346523197964,69762.041,15888536.27,227.75331745239507,,2026-06-13 00:00:00,67677.0,59227.0,8450.0
2025-12-13 00:00:00,66105.996,16165853.7,244.5444389038477,9125,1286149.54,140.94789479452055,75230.996,17452003.24,231.97889391229114,,2026-06-20 00:00:00,68681.0,60321.0,8360.0
2025-12-06 00:00:00,66167.03,17219434.28,260.2419102081505,14377,2215661.96,154.11156430409682,80544.03,19435096.240000002,241.29778755793572,,2026-06-27 00:00:00,64119.0,52418.0,11701.0
2025-11-29 00:00:00,50338.012,12581225.04,249.93488101993378,19093,3187779.13,166.96062064631016,69431.012,15769004.169999998,227.1175907676529,,2026-07-04 00:00:00,68197.0,56892.0,11305.0
2025-11-22 00:00:00,68375.003,16499449.24,241.30820498830548,11651,1807853.42,155.16723199725345,80026.003,18307302.66,228.76692542047866,,2026-07-11 00:00:00,67025.0,56805.0,10220.0
2025-11-15 00:00:00,63491.021,14982870.56,235.9840860017041,10215,1558104.1,152.53099363680863,73706.02100000001,16540974.66,224.41822846467318,,2026-07-18 00:00:00,65771.0,60747.0,5024.0
2025-11-08 00:00:00,65689.031,15292079.01,232.79501580712918,8415,1319775.22,156.83603327391563,74104.031,16611854.23,224.16937386307634,,2026-07-25 00:00:00,63617.0,58774.0,4843.0
Total,1032589.2429999999,252293940.48,244.3313662139322,177701,27710701,155.94003972965825,1210290.2429999998,280004641.48,231.3532998381778,,2026-08-01 00:00:00,74411.0,69414.0,4997.0
,,,,,,,,,,,2026-08-08 00:00:00,66254.0,61070.0,5184.0
% Billable Freight,0.8531748883974107,,,,,,,,,,2026-08-15 00:00:00,67032.0,62054.0,4978.0
% Ecomm Freight,0.1468251116025894,,,,,,,,,,2026-08-22 00:00:00,64465.0,59510.0,4955.0
Total ASP,231.3532998381778,,,,,,,,,,2026-08-29 00:00:00,67394.0,61354.0,6040.0
,,,,,,,,,,,2026-08-15 00:00:00,71872.0,64178.0,7694.0
,,,,,,,,,,,2026-08-22 00:00:00,68539.0,63518.0,5021.0
Sum of Units_Gross,Column Labels,,,Ecomm,Shipping,,,,,,Grand Total,1517294.0,1322309.0,194985.0
Row Labels,ADV Ecomm,ADV Shipping,Grand Total,%,%,,,,,,,,,
2024-10-12 00:00:00,6006,64429.045,70438,0.08526647548198416,0.9146915727306283,,,,,,,,,
2024-10-19 00:00:00,5101,57339,62440,0.0816944266495836,0.9183055733504164,,,,,,,,,
2024-10-26 00:00:00,4908,57003,61911,0.07927508843339633,0.9207249115666036,,,,,,,,,
2024-11-02 00:00:00,5732,62639,68371,0.08383671439645464,0.9161632856035453,,,,,,,,,
2024-11-09 00:00:00,6788,71448,78236,0.08676312694923054,0.9132368730507695,,,,,,,,,
2024-11-16 00:00:00,8282,72048,80330,0.1030997136810656,0.8969002863189344,,,,,,,,,
2024-11-23 00:00:00,7679,78550,86229,0.08905356666550697,0.910946433334493,,,,,,,,,
2024-11-30 00:00:00,15235,56083,71318,0.21362068482010152,0.7863793151798985,,,,,,,,,
2024-12-07 00:00:00,14359,78726,93085,0.1542568620078423,0.8457431379921577,,,,,,,,,
2024-12-14 00:00:00,8590,77660,86250,0.09959420289855073,0.9004057971014493,,,,,,,,,
2024-12-21 00:00:00,8196,61020,69216,0.1184119278779473,0.8815880721220527,,,,,,,,,
2024-12-28 00:00:00,5733,38083,43816,0.13084261457002008,0.8691573854299799,,,,,,,,,
2025-01-04 00:00:00,8659,56339,64998,0.1332194836764208,0.8667805163235792,,,,,,,,,
2025-01-11 00:00:00,6085,57633,63718,0.09549891710348724,0.9045010828965128,,,,,,,,,
2025-01-18 00:00:00,7465,60260,67725,0.11022517534145441,0.8897748246585456,,,,,,,,,
2025-01-25 00:00:00,6408,57870,64278,0.09969196303556427,0.9003080369644357,,,,,,,,,
2025-02-01 00:00:00,6546,63158,69704,0.0939113967634569,0.906088603236543,,,,,,,,,
2025-02-08 00:00:00,6556,64405,70961,0.09238877693380872,0.9076112230661912,,,,,,,,,
2025-02-15 00:00:00,6902,57563,64465,0.10706584968587605,0.8929341503141239,,,,,,,,,
2025-02-22 00:00:00,8942,62495,71437,0.12517322955891205,0.8748267704410879,,,,,,,,,
2025-03-01 00:00:00,9043,65566,74609,0.121205216528837,0.878794783471163,,,,,,,,,
2025-03-08 00:00:00,8624,60456,69080,0.12484076433121019,0.8751592356687898,,,,,,,,,
2025-03-15 00:00:00,6804,67684,74488,0.09134357211899903,0.908656427881001,,,,,,,,,
Grand Total,178643,1448460,1627103,0.10979206602163477,0.8902079339783653,,,,,,,,,
