Week Ending Date,Weekday,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Ecomm %,Unnamed: 12,Ecomm 2 WK,Ecomm 13 WK,Unnamed: 15,Demand Fulfillment Buffer,Unnamed: 17,Unnamed: 18,Unnamed: 19,Demand Fulfillment,Unnamed: 21,Unnamed: 22,Unnamed: 23
2024-11-16,Total,66383,14042845.91,211.54280327794768,13531,1874923.66,138.5650476683172,79914,15917769.57,199.18624483820108,0.16931951848236854,,0.15485346081895657,0.12053997296017459,,0.81,,,,15.0,Adjusted Volume,Billable,Ecomm
2024-11-09,Total,63729,13996182.46,219.62030566931853,10309,1501181.76,145.61856242118537,74038,15497364.22,209.31635403441476,0.1392393095437478,,Billable 2WK,,,,,,,112523.0,91143.63,77029.72346289753,14113.906537102475
2024-11-02,Total,56921,12070822.82,212.0627329105251,9533,1492833.48,156.59639987412146,66454,13563656.3,204.10594245643605,0.14345261383814367,,0.8451465391810434,,,,,,,89304.0,72336.24,61134.72289336937,11201.51710663064
2024-10-26,Total,64854,13783530.04,212.53168717426834,9978,1578763.25,158.22441872118662,74832,15362293.29,205.2904277581783,0.13333867864015395,,,,,,,,,87888.0,71189.28,60165.37361879027,11023.906381209728
2024-10-19,Total,57605,12104800.04,210.1345376269421,10601,1689453.42,159.3673634562777,68206,13794253.459999999,202.24398821218074,0.15542620883793215,,,,,,,,,71887.0,58228.47,49211.58990230721,9016.880097692789
2024-10-12,Total,64659,14194449.37,219.5278208756708,10399,1579296.07,151.86999423021444,75058,15773745.44,210.15408670628048,0.1385461909456687,,,,,,,,,76859.0,62255.79,52615.26546248181,9640.524537518188
2024-10-05,Total,63970,13642015.91,213.25646256057527,5403,598463.11,110.76496575976309,69373,14240479.02,205.2740838654808,0.07788332636616552,,,,,,,,,59376.0,48094.560000000005,40646.950937435045,7447.609062564957
2024-09-28,Total,60499,13166615.89,217.63361196052827,5104,568265.78,111.3373393416928,65603,13734881.67,209.363621633157,0.07780132006158255,,,,,,,,,80653.0,65328.93000000001,55212.51909790065,10116.410902099358
2024-09-21,Total,49334,10697811.39,216.8445978432724,5070,591908.39,116.74721696252466,54404,11289719.780000001,207.51635504742302,0.09319167708256745,,,,,,,,,78411.0,63512.91,53677.71607981709,9835.193920182915
2024-09-14,Total,52891,11087164.86,209.62290106067195,4599,523427.33,113.81329202000435,57490,11610592.19,201.95846564619933,0.07999652113411028,,,,,,,,,80053.0,64842.93000000001,54801.777879858666,10041.152120141345
2024-09-07,Total,48157,10420382.82,216.38355420811098,6181,706067.74,114.23195922989807,54338,11126450.56,204.76371158305423,0.11375096617468439,,,,,,,,,90723.0,73485.63,62106.12587403866,11379.50412596134
2024-08-31,Total,47122,10309191.86,218.77661941343746,6051,672816.82,111.19101305569326,53173,10982008.68,206.5335542474564,0.11379835630865288,,,,,,,,,84649.0,68565.69,57948.055610060284,10617.634389939722
2024-08-24,Total,72758,15393541.73,211.57180969790264,8625,1295808.14,150.23862492753622,81383,16689349.870000001,205.0716964230859,0.10598036444957792,,,,,,,,,90815.0,73560.15000000001,62169.10619413844,11391.04380586157
2024-08-17,Total,50116,10632577.45,212.159339332748,9528,1478413.01,155.16509340890008,59644,12110990.459999999,203.05463181543826,0.159747837167192,,,,,,,,,84819.0,68703.39,58064.43228850551,10638.957711494493
2024-08-10,Total,49238,10552006.07,214.3061470815224,8782,1324276.21,150.79437599635617,58020,11876282.280000001,204.69290382626681,0.15136159944846606,,,,,,,,,82460.0,66792.6,56449.53473290377,10343.065267096239
2024-08-03,Total,46310,9895962.1,213.68952925933922,7784,1147758.31,147.45096479958892,54094,11043720.41,204.15795485636116,0.14389765962953377,,,,,,,,,83501.0,67635.81,57162.17074620661,10473.63925379339
2024-07-27,Total,51073,10740536.11,210.29773285297514,7382,1068112.86,144.69152804118127,58455,11808648.969999999,202.012641690189,0.12628517663159697,,,,,,,,,84943.0,68803.83,58149.318806900854,10654.511193099148
2024-07-20,Total,51426,10745136.22,208.94365146035082,11995,1845782.45,153.87932055022927,63421,12590918.67,198.52917282918906,0.18913293703978176,,,,,,,,,81179.0,65754.99,55572.602232384124,10182.38776761588
2024-07-13,Total,53469,11259230.54,210.5749226654697,5473,676984.03,123.69523661611548,58942,11936214.569999998,202.5077969868684,0.09285399205999118,,,,,,,,,78249.0,63381.69,53566.81595094575,9814.874049054251
2024-07-06,Total,45232,9648382.65,213.30877807746728,7051,944410.64,133.93995745284357,52283,10592793.290000001,202.60492492779682,0.13486219229960025,,,,,,,,,90198.0,73060.38,61746.727308251924,11313.652691748079
2024-06-29,Total,47020,10305695.08,219.17684134410888,6196,733776.28,118.42741768883151,53216,11039471.36,207.4464702345159,0.11643114852675887,,,,,,,,,79568.0,64450.08,54469.76206194139,9980.317938058617
2024-06-22,Total,52328,11289645.72,215.74770142180097,5564,665264.63,119.56589324227174,57892,11954910.350000001,206.50366803703452,0.09610999792717474,,,,,,,,,79481.0,64379.61000000001,54410.2045853253,9969.405414674706
