AFIFinanceDivision,(Multiple Items),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,AFIFinanceDivision.1,(Multiple Items).1,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Upholstery,,,,,,,,,,,Casegoods,,,,,,,,,,,,,,,,,
Sum of spdDemandFulfillment,Column Labels,,,,,,,,,,Sum of spdDemandFulfillment,Column Labels,,,,,,,,,,,,,,,,
Row Labels,1  ,15 ,17.0,28 ,335.0,42 ,5.0,ECR,Grand Total,,Row Labels,1  ,1A ,15 ,15A,17 ,17A,19.0,28.0,28A,335.0,42.0,42A,5.0,5A ,ECA,ECR,Grand Total
2024-12-21 00:00:00,44316,26776,24821.0,14060,20704.0,9226,22744.0,53673,216320,,2024-12-21 00:00:00,58889,0,45078,0,51927,0,416.0,20706.0,0,64043.0,13831.0,0,42537.0,0,0,58156,355583
2024-12-28 00:00:00,21412,22053,16297.0,11849,5842.0,5166,11280.0,26315,120214,,2024-12-28 00:00:00,40725,0,40295,0,34928,0,1266.0,21097.0,0,15823.0,6975.0,0,35641.0,0,0,51415,248165
2025-01-04 00:00:00,26821,19052,15978.0,9030,9581.0,4989,14715.0,24646,124812,,2025-01-04 00:00:00,48715,0,47675,0,51013,0,1115.0,27485.0,0,35665.0,11559.0,0,40446.0,0,0,61003,324676
2025-01-11 00:00:00,39594,26724,21335.0,14089,9204.0,6328,22166.0,44812,184252,,2025-01-11 00:00:00,79381,0,48147,0,45393,0,1534.0,27117.0,0,25663.0,9356.0,0,43374.0,0,0,63256,343221
2025-01-18 00:00:00,41145,24549,21662.0,15897,4007.0,6164,20193.0,38594,172211,,2025-01-18 00:00:00,61557,0,54250,0,54075,0,1306.0,29605.0,0,32292.0,11701.0,0,44013.0,0,0,67161,355960
2025-01-25 00:00:00,45810,28092,24212.0,18367,39599.0,5789,21573.0,37549,220991,,2025-01-25 00:00:00,76174,0,56588,0,58484,0,1055.0,33584.0,0,32922.0,12590.0,0,48945.0,0,0,75534,395876
2025-02-01 00:00:00,34419,24078,20249.0,16799,19767.0,5748,18867.0,46003,185930,,2025-02-01 00:00:00,66278,0,58563,0,47524,0,1270.0,31273.0,0,24620.0,10203.0,0,47864.0,0,0,75920,363515
2025-02-08 00:00:00,38597,24677,19827.0,14674,14145.0,5670,21025.0,41581,180196,,2025-02-08 00:00:00,66696,0,58192,0,54246,0,1137.0,28970.0,0,31014.0,11554.0,0,54513.0,0,0,66730,373052
2025-02-15 00:00:00,36744,25664,20967.0,13196,10193.0,5964,18332.0,41392,172452,,2025-02-15 00:00:00,65404,0,54637,0,49574,0,1070.0,31440.0,0,27390.0,10917.0,0,50823.0,0,0,68222,359477
2025-02-22 00:00:00,34210,26523,21234.0,12863,14475.0,5088,17571.0,36013,167977,,2025-02-22 00:00:00,68810,0,62280,0,51998,0,1228.0,32422.0,0,27520.0,9929.0,0,50827.0,0,0,72275,377289
2025-03-01 00:00:00,34786,22105,19129.0,14940,12554.0,5208,17555.0,39741,166018,,2025-03-01 00:00:00,73547,0,57262,0,52067,0,1198.0,30469.0,0,27377.0,10939.0,0,48799.0,0,0,80203,381861
2025-03-08 00:00:00,34227,20862,19576.0,14295,15037.0,5411,18128.0,38020,165556,,2025-03-08 00:00:00,70999,0,58194,0,52121,0,1223.0,30600.0,0,26281.0,11455.0,0,48633.0,0,0,73114,372620
2025-03-15 00:00:00,38025,25663,24810.0,17087,12385.0,5883,21202.0,41900,186955,,2025-03-15 00:00:00,74169,0,64046,0,57182,0,1213.0,33509.0,0,27225.0,11406.0,0,47962.0,0,0,79020,395732
2025-03-22 00:00:00,33544,22774,19231.0,14167,11603.0,5398,18930.0,40571,166218,,2025-03-22 00:00:00,64569,0,55422,0,50618,0,1208.0,28589.0,0,27523.0,10375.0,0,45230.0,0,0,69359,352893
2025-03-29 00:00:00,33571,24820,20058.0,14843,12175.0,5453,17586.0,40085,168591,,2025-03-29 00:00:00,67798,0,57242,0,51038,0,1198.0,28978.0,0,26230.0,10813.0,0,47401.0,0,0,68027,358725
2025-04-05 00:00:00,28890,21232,17539.0,13061,11029.0,5105,19312.0,35051,151219,,2025-04-05 00:00:00,62117,0,56693,0,48896,0,698.0,28843.0,0,24333.0,10175.0,0,46629.0,0,0,73427,351811
2025-04-12 00:00:00,29205,20554,18868.0,15437,11403.0,5041,16874.0,34623,152005,,2025-04-12 00:00:00,61859,0,59948,0,46278,0,1236.0,27199.0,0,25140.0,10209.0,0,48685.0,0,0,67158,347712
2025-04-19 00:00:00,26981,19476,16507.0,11722,10713.0,5334,15573.0,31265,137571,,2025-04-19 00:00:00,60139,0,57341,0,45547,0,661.0,26891.0,0,21939.0,9030.0,0,46159.0,0,0,65416,333123
2025-04-26 00:00:00,33980,18565,18070.0,11887,11084.0,4389,15356.0,38618,151949,,2025-04-26 00:00:00,58079,0,52404,0,46279,0,1161.0,25523.0,0,21633.0,8828.0,0,41445.0,0,0,60415,315767
2025-05-03 00:00:00,29204,23332,18782.0,13730,10851.0,5253,16547.0,36070,153769,,2025-05-03 00:00:00,62449,0,59005,0,49801,0,622.0,28381.0,0,23093.0,10348.0,0,45412.0,0,0,68109,347220
2025-05-10 00:00:00,27333,18880,19841.0,11608,10406.0,4776,15440.0,33131,141415,,2025-05-10 00:00:00,59204,0,53628,0,45940,0,651.0,26733.0,0,23462.0,9956.0,0,45326.0,0,0,65029,329929
2025-05-17 00:00:00,25428,17980,17269.0,11016,10529.0,4292,14603.0,30702,131819,,2025-05-17 00:00:00,57430,0,52643,0,44323,0,1027.0,25593.0,0,22331.0,8994.0,0,42575.0,0,0,63457,318373
2025-05-24 00:00:00,25112,17808,16035.0,11323,10611.0,4190,14533.0,31765,131377,,2025-05-24 00:00:00,57065,0,54041,0,44534,0,1071.0,25852.0,0,22248.0,9026.0,0,44058.0,0,0,62161,320056
2025-05-31 00:00:00,27930,19052,17740.0,12158,11202.0,4942,16090.0,33742,142856,,2025-05-31 00:00:00,61039,0,59337,0,47307,0,1140.0,27594.0,0,24192.0,9524.0,0,47658.0,0,0,68014,345805
2025-06-07 00:00:00,28316,19469,17778.0,12750,11233.0,5012,16345.0,34533,145436,,2025-06-07 00:00:00,62538,0,59620,0,47592,0,1174.0,28264.0,0,24890.0,9724.0,0,46734.0,0,0,70196,350732
2025-06-14 00:00:00,28140,19470,17616.0,12442,12383.0,5114,16443.0,34327,145935,,2025-06-14 00:00:00,61975,0,58078,0,47906,0,695.0,28067.0,0,24885.0,9892.0,0,48278.0,0,0,69303,349079
Grand Total,847740,580230,505431.0,353290,332715.0,140933,458983.0,964722,4184044,,Grand Total,1647605,0,1440609,0,1276591,0,27573.0,734784.0,0,709734.0,269309.0,0,1199967.0,0,0,1762080,9068252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIFinanceDivision,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Freight,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of spdDemandFulfillment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1  ,1A ,15.0,15A,17.0,17A,19.0,28 ,28A,335.0,42 ,42A,5  ,5A ,ECA,ECR,Grand Total,,,,,,,,,,,
2024-12-21 00:00:00,103205,0,71854.0,0,76748.0,0,416.0,34766,0,84747.0,23057,0,65281,0,0,111829,571903,,,,,,,,,,,
2024-12-28 00:00:00,62137,0,62348.0,0,51225.0,0,1266.0,32946,0,21665.0,12141,0,46921,0,0,77730,368379,,,,,,,,,,,
2025-01-04 00:00:00,75536,0,66727.0,0,66991.0,0,1115.0,36515,0,45246.0,16548,0,55161,0,0,85649,449488,,,,,,,,,,,
2025-01-11 00:00:00,118975,0,74871.0,0,66728.0,0,1534.0,41206,0,34867.0,15684,0,65540,0,0,108068,527473,,,,,,,,,,,
2025-01-18 00:00:00,102702,0,78799.0,0,75737.0,0,1306.0,45502,0,36299.0,17865,0,64206,0,0,105755,528171,,,,,,,,,,,
2025-01-25 00:00:00,121984,0,84680.0,0,82696.0,0,1055.0,51951,0,72521.0,18379,0,70518,0,0,113083,616867,,,,,,,,,,,
2025-02-01 00:00:00,100697,0,82641.0,0,67773.0,0,1270.0,48072,0,44387.0,15951,0,66731,0,0,121923,549445,,,,,,,,,,,
2025-02-08 00:00:00,105293,0,82869.0,0,74073.0,0,1137.0,43644,0,45159.0,17224,0,75538,0,0,108311,553248,,,,,,,,,,,
2025-02-15 00:00:00,102148,0,80301.0,0,70541.0,0,1070.0,44636,0,37583.0,16881,0,69155,0,0,109614,531929,,,,,,,,,,,
2025-02-22 00:00:00,103020,0,88803.0,0,73232.0,0,1228.0,45285,0,41995.0,15017,0,68398,0,0,108288,545266,,,,,,,,,,,
2025-03-01 00:00:00,108333,0,79367.0,0,71196.0,0,1198.0,45409,0,39931.0,16147,0,66354,0,0,119944,547879,,,,,,,,,,,
2025-03-08 00:00:00,105226,0,79056.0,0,71697.0,0,1223.0,44895,0,41318.0,16866,0,66761,0,0,111134,538176,,,,,,,,,,,
2025-03-15 00:00:00,112194,0,89709.0,0,81992.0,0,1213.0,50596,0,39610.0,17289,0,69164,0,0,120920,582687,,,,,,,,,,,
2025-03-22 00:00:00,98113,0,78196.0,0,69849.0,0,1208.0,42756,0,39126.0,15773,0,64160,0,0,109930,519111,,,,,,,,,,,
2025-03-29 00:00:00,101369,0,82062.0,0,71096.0,0,1198.0,43821,0,38405.0,16266,0,64987,0,0,108112,527316,,,,,,,,,,,
2025-04-05 00:00:00,91007,0,77925.0,0,66435.0,0,698.0,41904,0,35362.0,15280,0,65941,0,0,108478,503030,,,,,,,,,,,
