AFIFinanceDivision,(Multiple Items),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of FOBDemandFullfilment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumulative Average $'s,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,Grand Total,,INVOICE WTD,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00
1  ,10501726.41,6329965.26,9331155.629999999,8630336.05,9065131.47,8537133.92,9326674.43,8963546.74,8834630.34,10143605.25,11538316.43,9345748.21,10746208.41,11189439.17,10619141.18,11135392.02,11402120.23,9761250.85,10073982.940000001,10525928.79,10271569.61,10642855.48,9665738.58,10110992.6,11035331.44,9717675.66,257445597.09999996,,1777311.6199999999,902791.8500000001,2171259.4639999997,,1201181.964,442016.56999999995,394962.53799999994,982401.4900000001,2964936.646,9033067.985555556,9144121.712000001,9361775.77727273,9360440.146666668,9467037.705384616,9590066.381428571,9658671.368,9055004.4075,9177380.149411766,9300976.820555557,9325201.769473685,9362640.828
15 ,7789202.21,5593203.14,7685782.35,7802707.76,7499758.25,7209377.9,7756256.27,8004409.109999999,7502804.27,9525625.69,11989760.77,10311083.31,8733125.4,8332429.550000001,9248997.16,10879713.940000001,10742246.59,8638317.79,8472575.08,9487537.51,8643052.399999999,8306289.41,8607839.79,9420299.57,11045567.2,8703084.629999999,227931047.04999995,,1184022.2999999998,8973224.51,7283213.824999999,7417403.333333333,7513729.44,7510935.202,7460675.651666666,7502901.454285713,7565589.911249999,7558613.728888888,7755314.924999999,8140264.547272726,8321166.110833332,8352855.286923076,8351396.305714285,8411236.362666665,7885534.089999999,8061662.316470588,8210583.665,8233095.987368421,8245069.942
17 ,9944481.58,7274825.02,9600569.34,8365954.890000001,8956236.16,7823197.99,9710350.39,8392414.02,8510176.21,9379342.06,12797796.51,9065314.379999999,12567359.74,9835078.52,10530646.95,11613615.34,11284800.86,9317817.3,9883873.6,10790214.28,10470393.72,9283734.84,9205549.54,9873524.05,10978674.959999999,9426071.81,254882014.06,,2165477.7879999997,12109959.368,9692392.194,9661784.576,9337827.1545,9261508.955599999,9021790.461333333,9120156.165428571,9029188.39725,8971520.376444444,9012302.5448,9356438.359818183,9332178.028166667,9581038.159846153,9599183.899857143,9661281.436533332,9057451.346749999,9207813.934588235,9323202.09711111,9322918.68673684,9350966.4324
19 ,5742.5,10401.5,44445,17992.5,15931,15535.5,24420.5,20523.5,27477.5,19257,28915.5,21214,22857,26212,20790,33807,19592.5,21709.5,19007.5,16450.5,17994,17085,15957,16065,15460.5,17349,532192.5,,,5742.5,8072,20196.333333333332,19645.375,18902.5,18341.333333333332,19209.785714285714,19374,20274.38888888889,20172.65,20967.454545454544,20988,21131.76923076923,21494.64285714286,21447.666666666668,20107.1875,20913.058823529413,20839.694444444445,20885.473684210527,20791.575
28 ,5693850.5,4261611.3100000005,5453089.7,5362716.97,4523079,5301454.11,5509969.73,4997286.83,5397857.5600000005,6070272.91,9771895.27,5959272.0600000005,5826276.02,5457209.26,5842437.8,7447766.93,7094036.88,5507351.9799999995,5867632.8,6243307.7,5492151.61,5659423.49,5578480.49,5936045.05,6710849.300000001,5517291.38,152482616.64000002,,920351.6060000001,6614202.106000001,5437906.708000001,5442967.705333334,5422905.0215,5242939.8171999995,5252692.199333333,5289446.132285714,5252926.2195,5269029.701777778,5349154.022600001,5751221.408727272,5768558.963,5772998.736615385,5750442.345428572,5756575.375733334,5396789.41475,5517435.150941177,5605024.135888889,5599883.496105264,5613270.961300001
335,12442391.5,5029930,6556273.5,7453931,8327373,8603963,9006956.5,6700261.5,6441234,5708947.5,6406978.5,5791272,5545095.5,5471254,5408884.5,5299003.5,5461903.5,5410224.5,5283931.5,5246970,5455185,5312692.5,5266807,5523321.5,5616342,5827111.5,164598238.5,,387100.01000000007,12829491.51,8929710.755,8138565.003333334,7967406.5025,8039399.801999999,8133493.668333333,8258274.072857142,8063522.50125,7883268.223333334,7665836.151000001,7551394.546363637,7404717.6675,7261669.8084615385,7133782.965000001,7018789.734,6580115.375625,6504755.853529412,6446819.611666667,6392261.974210527,6336845.4505
42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5  ,9237267.06,6654946.17,9163444.1,8023281.57,9108270.06,8149506.82,9475473.41,9169786.129999999,10282762.89,11474824.24,13095930.96,9528477.01,9067117.99,8600978.120000001,10041126.370000001,11961371.75,11940780.8,9259287.870000001,8658803.61,9587180.45,8907875.39,8707424.24,9081300.959999999,9796947.21,11589936.350000001,9125284,249689385.53,,1348959.88,10586226.940000001,8620586.555,8801539.069999998,8606974.695,8707233.768000001,8614279.276666667,8737307.01,8791366.899999999,8957077.565555554,9208852.233,9562223.026363635,9559410.858333332,9521542.176153846,9455787.600714285,9494810.185333334,8901384.54875,9081383.795882354,9240239.185,9241241.747368421,9212119.8405
ECR,11542193.620000001,7780256.260000001,9412186.719999999,8942348.1,8124464.43,8897392.09,9099976.17,8444330.82,8709591.82,10901575.38,11880299.67,13285289.469999999,11532897.56,10149846.25,10346742.16,12215153.86,11838429.03,10158208.46,9889199.34,11369627.379999999,10168144.43,9638040.29,9718891.24,10083131.33,11081438.49,9782225.8,264991880.17000005,,3263847.8880000003,14806041.508000001,11293148.884000001,10666161.496000001,10235208.147,9813059.403600002,9660448.184666665,9580380.753999999,9438374.51225,9357398.657555556,9511816.329799999,9727132.997090908,10023646.0365,10139742.307538461,10140464.017714288,10154215.893866668,9519577.400500001,9678140.72164706,9798156.738777779,9817106.829368422,9820711.4549
Grand Total,67156855.38000001,42935138.66,57246946.339999996,54599268.84,55620243.370000005,54537561.33,59910077.400000006,54692558.65,55706534.59,63223450.03,77509893.61,63307670.44,64040937.62000001,59062446.870000005,62058766.11999999,70585824.34,69783910.39,58074168.25000001,58149006.370000005,63267216.61,59426366.16,57567545.25,57140564.6,60760326.31,68073600.24000001,58116093.78,1572552971.55,,11047071.092,66873782.291999996,53482399.385000005,50194733.51733333,50351001.2995,49082126.0184,48602820.31333333,49536220.86457143,51171430.08749999,57096408.628,57713735.56819999,59517590.117454536,59837284.811,60164201.95015384,60088811.158714294,60223228.0228,56462170.77137499,57295698.981294125,57992062.94844445,57998823.964315794,58008651.48459999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10494717.5374,10494717.5374,5247358.7687,3498239.1791333333,2623679.38435,2098943.50748,1749119.5895666666,1499245.3624857143,1311839.692175,1166079.7263777778,1049471.75374,954065.2306727272,874559.7947833333,807285.9644153846,749622.6812428571,699647.8358266667,655919.8460875,617336.3257294118,583039.8631888889,552353.5546,524735.87687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11649136.466514,144196180.1214,112166048.53870001,103841590.21379998,103279558.98335001,100217065.54428,98908623.21623333,100525543.09162858,103608548.86717498,115312738.98237777,116430777.89013998,119943073.4655818,120502950.41678333,121089503.86472307,120881051.99867144,121099903.88142666,113534054.38883749,115162520.28831767,116520944.76007779,116503773.48323159,116495803.84606999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIFinanceDivision,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of spdDemandFulfillment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumulative Average Units,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,Grand Total,,INVOICE WTD,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00
1  ,72022,42056,58951,53206,56908,52495,59183,55217,54473,59436,64206,58843,70598,69667,62104,65637,66796,62836,61267,65240,65608,67207,60279,61694,64465,61889,1592283,,9099,4827,11895.006,,5672.033,2262,1908.951,5095,13983.031,57067.77777777778,57304.6,57932,58007.916666666664,58976.38461538462,59740,59897.6,56154,56711.82352941176,57272.055555555555,57564.89473684211,57750
15 ,45900,32462,40618,41653,38215,37945,41825,41852,38367,46745,55689,58987,48107,44148,47002,54447,52322,46760,44462,53173,46839,44717,45482,48455,53538,47168,1196878,,5854,51754,42108,41611.333333333336,41621.75,40940.4,40441.166666666664,40638.857142857145,40790.5,40521.22222222222,41143.6,42465.90909090909,43842.666666666664,44170.692307692305,44169.07142857143,44357.933333333334,41585.5625,42342.117647058825,42896.555555555555,43099.89473684211,43168
17 ,59084,41907,52991,45853,47785,42451,53993,45911,45439,47957,64607,50513,76556,52967,54862,61088,59803,51499,53904,61329,60325,51784,50836,53330,57104,53674,1397552,,10109.001,69193.001,55550.0005,54697.00033333333,52486.00025,51545.8002,50030.000166666665,50596.143,50010.500125,49502.55566666667,49348.0001,50735.18190909091,50716.666750000004,52704.30776923077,52723.071500000005,52865.66673333334,49561.5625625,50239.58829411765,50770.88894444445,50809.21057894737,50963.95005
19 ,27,46,554,176,147,142,183,169,193,159,205,179,186,197,171,229,169,182,160,149,164,156,147,147,144,163,4544,,,27,36.5,209,200.75,190,182,182.14285714285714,180.5,181.88888888888889,179.6,181.9090909090909,181.66666666666666,182,183.07142857142858,182.26666666666668,170.875,174.2941176470588,174,174.42105263157896,173.7
