Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,
1  ,113301,67862,84384,78413,83428,86005,85654,86176,80514,82842,90986,88492,104213,99436,86702,106264,97781,91771,88930,94308,94030,93833,87167,89760,92078,90855,
15 ,71633,47537,57717,58770,54325,58949,59804,58639,53156,63413,75234,80214,69292,61671,64486,72510,71608,65482,61382,71843,64862,61995,62641,66221,71684,66208,
17 ,89767,59765,71815,64951,66701,65066,76317,64654,63742,65780,84345,73719,101734,71311,75793,80817,80985,72254,73056,83294,80291,71330,70304,73404,77545,74880,
19 ,27,46,554,176,147,142,183,169,193,159,205,179,186,197,171,229,169,182,160,149,164,156,147,147,144,163,
28 ,49424,33685,40201,40772,33859,42859,42482,38597,42663,42929,61495,46154,49011,40948,42420,50831,47959,42195,42513,48191,42095,42430,41745,42727,45016,42446,
335,110458,46646,64466,66449,71517,70926,75400,58865,53958,49661,53387,52892,50810,49747,49676,47574,49504,49910,47705,48321,49928,48998,48086,50532,51838,53595,
42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5  ,78325,54442,73885,59667,71150,67031,71527,71391,75030,78355,81547,71268,72396,67557,70975,77413,80469,70028,63574,72177,67788,65990,67013,70325,77103,70157,
ECR,129405,79218,91950,87032,80766,95904,89001,81621,82054,92392,119266,117640,107022,93217,94962,105243,102603,95446,90149,105285,95919,91747,92251,94552,97868,95906,
Grand Total,642340,389201,484972,456230,461893,486882,500368,460112,451310,475531,566465,530558,554664,484084,485185,540881,531078,487268,467469,523568,495077,476479,469354,487668,513276,494210,
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,
1  ,72022,42056,58951,53206,56908,52495,59183,55217,54473,59436,64206,58843,70598,69667,62104,65637,66796,62836,61267,65240,65608,67207,60279,61694,64465,61889,
15 ,45900,32462,40618,41653,38215,37945,41825,41852,38367,46745,55689,58987,48107,44148,47002,54447,52322,46760,44462,53173,46839,44717,45482,48455,53538,47168,
17 ,59084,41907,52991,45853,47785,42451,53993,45911,45439,47957,64607,50513,76556,52967,54862,61088,59803,51499,53904,61329,60325,51784,50836,53330,57104,53674,
19 ,27,46,554,176,147,142,183,169,193,159,205,179,186,197,171,229,169,182,160,149,164,156,147,147,144,163,
28 ,33341,23843,28728,28459,23662,28174,29416,27530,29164,31073,49259,30644,32591,29742,30301,37314,35209,30295,31541,34867,29946,30464,29891,30681,33128,30123,
335,75493,27537,36277,46488,47998,48656,48548,35890,35390,31083,33744,31411,31122,30768,30070,29981,30359,30066,29484,29109,30399,29451,29218,30772,31518,32622,
42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5  ,55062,35777,51368,41488,48499,44376,51189,47909,55674,59447,61578,49762,50851,46306,51017,57932,59998,50696,45364,51938,47846,46683,47616,50382,57217,49413,
ECR,73350,45466,54067,51416,45606,51290,53249,47367,50188,59136,63072,78317,65793,55032,57092,65259,62829,59349,55192,67185,58207,55327,55347,57260,60045,57008,
Grand Total,414279,249094,323554,308739,308820,305529,337586,301845,308888,335036,392360,358656,375804,328827,332619,371887,367485,331683,321374,362990,339334,325789,318816,332721,357159,332060,
UPH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,
1  ,41279,25806,25433,25207,26520,33510,26471,30959,26041,23406,26780,29649,33615,29769,24598,40627,30985,28935,27663,29068,28422,26626,26888,28066,27613,28966,
15 ,25732,15071,17092,17109,16107,20997,17970,16778,14780,16652,19535,21217,21175,17514,17474,18051,19271,18706,16908,18649,18003,17256,17138,17731,17920,18960,
17 ,30683,17858,18824,19098,18916,22615,22324,18743,18303,17823,19738,23206,25178,18344,20931,19729,21182,20755,19152,21965,19966,19546,19468,20074,20441,21206,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 ,16083,9842,11473,12313,10197,14685,13066,11067,13499,11856,12236,15510,16420,11206,12119,13517,12750,11900,10972,13324,12149,11966,11854,12046,11888,12323,
335,34965,19109,28189,19961,23519,22270,26852,22975,18568,18578,19643,21481,19688,18979,19606,17593,19145,19844,18221,19212,19529,19547,18868,19760,20320,20973,
42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5  ,23260,18665,22512,18176,22647,22652,20329,23475,19350,18904,19962,21497,21539,21242,19951,19474,20460,19319,18203,20227,19924,19291,19269,19907,19851,20705,
