AFIFinanceDivision,(Multiple Items),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of FOBDemandFullfilment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumulative Average $'s,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,Grand Total,,INVOICE WTD,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00
1  ,12695062,7989397,8233251,7611140,8402523,9948116.5,8444873.5,9397301,8125321,7372911.5,8441736.5,9506353.5,10585874,9108762.5,7857858.5,12543771,9942025.5,9005798,9017658.5,9106777,8960423.5,8406433,8509472.5,8900453.5,8666762.5,9071288.5,235851345,,1777311.6199999999,902791.8500000001,2171259.4639999997,,1201181.964,442016.56999999995,394962.53799999994,982401.4900000001,2964936.646,9180477.402222224,8999720.812,8948994.965454547,8995441.51,9117782.47076923,9117138.187142858,9033186.208,8468612.07,8708327.301176472,8776866.09,8788915.137894737,8800352.306
15 ,8152323.5,4743353,5370353.5,5485530,4982714.5,6167141.5,5711519.5,5322667,4655983.5,5147716,6196030.5,6700428,6452550.5,5588499,5478977,5678423,6273187,6155530.5,5370427.5,5884812,5710463.5,5490636,5434262.5,5616652,5691270,6102096.5,149563547.5,,1184022.2999999998,9336345.8,7039849.4,6483350.766666667,6233895.575,5983659.36,6014239.716666666,5970993.971428571,5889953.1,5752845.366666666,5692332.43,5738123.163636363,5818315.233333333,5867102.561538462,5847202.3071428565,5822653.953333333,5458738.08125,5471660.7235294115,5516189.961111111,5549839.463157895,5540868.865
17 ,10296240,5979659.5,6500791,6664363.5,6466406,7111948.5,7482196.5,6353743,6139813,6104903,6674220.5,8059322.5,8140211,6275136,7083681.5,6971740.5,7246254.5,7300747,6517576,7380355,6829627.5,6675891,6703505.5,6875202.5,6984421.5,7274338,182092294.5,,2165477.7879999997,12461717.787999999,9220688.644,8314056.096,7901632.947,7614587.557600001,7530814.381333333,7523868.969714286,7377603.2235,7240070.976444445,7126554.1788,7085432.935272727,7166590.399,7241484.291384616,7172459.413428572,7166540.885866667,6718632.0805,6733520.811058824,6762006.016,6790360.804631579,6776721.5644
28 ,5435516.5,3441037,4020364,4185366.5,3547435,4578274,4410163.5,3671075,4467594.5,4055267.5,4235114,5372416,5605184.5,3927849,4231464,4955607,4329993.5,4136672.5,3852414.5,4578860.5,4260539,4204429.5,4173759.5,4333875,4190570.5,4348418.5,112549261,,,5435516.5,4438276.75,4298972.5,4270571,4125943.8,4201332.166666667,4231165.214285715,4161153.9375,4195202.888888889,4181209.35,4186109.772727273,4284968.625,4386523.692307692,4353761.214285715,4345608.066666666,4074007.5625,4125866.3529411764,4137206.75,4137178.6315789474,4122940.425
335,15052008.5,7055898.5,11913679,8894696,9631692.5,9131616,11167497.5,9344123,7468209,7096697.5,7710168,8634424,7866645.5,7358545,7641455.5,6815348,7347824.5,7626316.5,7006528,7408305,7523583.5,7493193,7246732,7643970.5,7810089.5,8083192.5,217972438.5,,920351.6060000001,15972360.106,11514129.303,11647312.535333334,10959158.4015,10693665.2212,10433323.684333334,10538205.658000002,10388945.32575,10064419.067333333,9767646.910600001,9580603.373272728,9501755.092166668,9375977.43123077,9231875.114714285,9125847.1404,8555481.694125,8453120.888588235,8391715.533666667,8351431.374000001,8284186.2053000005
42 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,387100.01000000007,387100.01000000007,193550.00500000003,129033.33666666668,96775.00250000002,77420.00200000001,64516.66833333334,55300.001428571435,48387.50125000001,43011.11222222223,38710.001000000004,35190.91,32258.33416666667,29776.92384615385,27650.000714285718,25806.66733333334,24193.750625000004,22770.588823529415,21505.556111111116,20373.684736842108,19355.000500000002
5  ,8008796.5,6468764,7483425.5,6225137.5,7739630,7072851.5,7206117,7851845,6825315,6402143,7003881,7581496,7197606.5,7050877,6933784.5,7075186.5,6923068.5,6592119,6219994.5,6990612,6859622,6623929,6653579.5,6868595.5,6814321,7093163.5,181765861,,,8008796.5,7238780.25,7320328.666666667,7046530.875,7185150.7,7166434.166666667,7172103.142857143,7257070.875,7209098,7128402.5,7117082.363636363,7155783.5,7159000.653846154,7151277.535714285,7136778,6690729.375,6713344.5,6724995.833333333,6718002.315789473,6693101.925
ECR,17708529,10931131,12561295,11503827,11402305.5,14008327,11606717,10832319.5,10529349,10867271.5,17892311.5,12897363.5,13173335.5,12355560,12587430,12984904.5,13267341,11796309.5,11412076,12376607.5,12329212.5,11916371,12158931.5,12150387.5,12322658,12733869.5,326305740.5,,1348959.88,19057488.88,14994309.94,14183304.96,13513435.47,13091209.476,13244062.396666666,13010155.91142857,12737926.36,12492528.875555554,12330003.138,12835667.534545453,12840808.865,12866387.836923076,12829900.134285714,12813735.458666665,12012876.9925,12070055.081176471,12136570.965555556,12118662.46736842,12083333.144
Grand Total,77348476,46609240,56083159,50570060.5,52172706.5,58018275,56029084.5,52773073.5,48211585,47046910,58153462,58751803.5,59021407.5,51665228.5,51814651,57024980.5,55329694.5,52613493,49396675,53726329,52473471.5,50810882.5,50880243,52389136.5,52480093,54706367,1406100488,,3263847.8880000003,80612323.888,63610781.944,61101574.296000004,58468695.847,57209497.9776,57344294.148,57156407.05542857,56608490.361,55675500.876444444,54812641.7888,55116352.71709091,55419306.949,55696391.606769234,55408451.38485714,55168864.69253334,51720810.64925,52032820.64047059,52215980.299333334,52236902.02042105,52094890.6694
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11047071.092,152220543.322,120467734.7,113524049.15733334,109738000.082,106469280.66440001,106440116.86666667,106686745.41457143,107480618.33,111899312.56577778,110123386.1092,110689729.73563635,111261407.50766668,111786613.46861538,111185908.29228571,110685221.07280001,103770289.25575,104377700.88776469,104729258.00511111,104757893.89957896,104461985.1046
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10494717.5374,10494717.5374,5247358.7687,3498239.1791333333,2623679.38435,2098943.50748,1749119.5895666666,1499245.3624857143,1311839.692175,1166079.7263777778,1049471.75374,954065.2306727272,874559.7947833333,807285.9644153846,749622.6812428571,699647.8358266667,655919.8460875,617336.3257294118,583039.8631888889,552353.5546,524735.87687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11649136.466514,314889702.1814,246136719.1687,230500221.4938,222053556.54835,214991374.83628002,214583216.32290003,214826592.19162858,216226925.352175,224918546.85793334,221250078.97214,222287352.70194542,223351195.81011668,224334326.90164614,223075246.26581427,222023889.9814267,208150291.3575875,209326524.1012588,209995334.87341112,210021913.35375792,209402471.08607
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFIFinanceDivision,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of spdDemandFulfillment,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumulative Average Units,,,,,,,,,,,,,,,,,,,
Row Labels,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00,2026-08-08 00:00:00,2026-08-15 00:00:00,2026-08-22 00:00:00,2026-08-29 00:00:00,2026-09-05 00:00:00,2026-09-12 00:00:00,Grand Total,,INVOICE WTD,2026-03-21 00:00:00,2026-03-28 00:00:00,2026-04-04 00:00:00,2026-04-11 00:00:00,2026-04-18 00:00:00,2026-04-25 00:00:00,2026-05-02 00:00:00,2026-05-09 00:00:00,2026-05-16 00:00:00,2026-05-23 00:00:00,2026-05-30 00:00:00,2026-06-06 00:00:00,2026-06-13 00:00:00,2026-06-20 00:00:00,2026-06-27 00:00:00,2026-07-04 00:00:00,2026-07-11 00:00:00,2026-07-18 00:00:00,2026-07-25 00:00:00,2026-08-01 00:00:00
1  ,41279,25806,25433,25207,26520,33510,26471,30959,26041,23406,26780,29649,33615,29769,24598,40627,30985,28935,27663,29068,28422,26626,26888,28066,27613,28966,752902,,9099,4827,11895.006,,5672.033,2262,1908.951,5095,13983.031,30036.11111111111,29373.1,29137.363636363636,29180,29521.153846153848,29538.85714285714,29209.466666666667,27383.875,28162.882352941175,28319.666666666668,28352.052631578947,28317.6
15 ,25732,15071,17092,17109,16107,20997,17970,16778,14780,16652,19535,21217,21175,17514,17474,18051,19271,18706,16908,18649,18003,17256,17138,17731,17920,18960,473796,,5854,31586,23328.5,21249.666666666668,20214.5,19393,19660.333333333332,19418.85714285714,19088.75,18610,18414.2,18516.090909090908,18741.166666666668,18928.384615384617,18827.35714285714,18737.133333333335,17566.0625,17594.58823529412,17687.722222222223,17741.315789473683,17699.65
17 ,30683,17858,18824,19098,18916,22615,22324,18743,18303,17823,19738,23206,25178,18344,20931,19729,21182,20755,19152,21965,19966,19546,19468,20074,20441,21206,536068,,10109.001,40792.001000000004,29325.000500000002,25824.667,24143.00025,23097.6002,23017.166833333333,22918.143,22396.250125,21941.444555555554,21529.6001,21366.727363636364,21520.000083333332,21801.384692307693,21554.428642857143,21512.866733333332,20168.3125625,20142.470647058824,20200.22227777778,20229.421105263158,20175.550049999998
28 ,16083,9842,11473,12313,10197,14685,13066,11067,13499,11856,12236,15510,16420,11206,12119,13517,12750,11900,10972,13324,12149,11966,11854,12046,11888,12323,326261,,,16083,12962.5,12466,12427.75,11981.6,12432.166666666666,12522.714285714286,12340.75,12469.444444444445,12408.1,12392.454545454546,12652.25,12942.076923076924,12818.07142857143,12771.466666666667,11973.25,12064.058823529413,12102.166666666666,12091.526315789473,12035.55
335,34965,19109,28189,19961,23519,22270,26852,22975,18568,18578,19643,21481,19688,18979,19606,17593,19145,19844,18221,19212,19529,19547,18868,19760,20320,20973,547395,,4270.009,39235.009,29172.0045,28844.336333333336,26623.50225,26002.6018,25380.5015,25590.71557142857,25263.751125,24519.778777777778,23925.600899999998,23536.273545454544,23365.000750000003,23082.15453846154,22789.072071428574,22576.867266666668,21165.8130625,20955.647588235297,20855.056055555557,20801.84257894737,20672.800450000002
