Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,AFIFinanceDivision,(Multiple Items),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,AFIFinanceDivision.1,(Multiple Items).1,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,AFIFinanceDivision.2,(Multiple Items).2,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,,,,,,,,,,,,CG,,,,,,,,,,UPH,,,,,,,,,,,,,UPH,,,,,,,
Sum of DemandFulfillment,Column Labels,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,,,,,Sum of DemandFulfillment,Column Labels,,,,,,,,
Row Labels,1  ,15.0,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total,,,,Row Labels,1  ,15 ,17.0,28.0,42.0,5.0,ECR,335.0,Grand Total
2026-03-07 00:00:00,120147,82414.0,97250.0,57133.0,0.0,78948.0,166407,98115.0,700414,2026-03-07 00:00:00,78016,54103,66671.0,37880.0,0.0,54688.0,107677,59632.0,458667,2026-03-07 00:00:00,42131,28307,30579.0,19253.0,0.0,24258.0,58724,38483.0,241735,,,,2026-03-07 00:00:00,42131,28307,30579.0,19253.0,0.0,24258.0,58724,38483.0,241735
2026-03-14 00:00:00,81358,66150.0,67654.0,39918.0,0.0,69365.0,86758,41586.0,452789,2026-03-14 00:00:00,52200,42540,44741.0,27706.0,0.0,48253.0,50038,26239.0,291717,2026-03-14 00:00:00,29158,23602,22913.0,12212.0,0.0,21105.0,36707,15347.0,161044,,,,2026-03-14 00:00:00,29158,23602,22913.0,12212.0,0.0,21105.0,36707,15347.0,161044
2026-03-21 00:00:00,86239,58739.0,64783.0,37946.0,0.0,61308.0,83648,53616.0,446279,2026-03-21 00:00:00,58359,40812,43357.0,26157.0,0.0,41860.0,48404,32477.0,291426,2026-03-21 00:00:00,27880,17919,21426.0,11789.0,0.0,19443.0,35231,21139.0,154827,,,,2026-03-21 00:00:00,27880,17919,21426.0,11789.0,0.0,19443.0,35231,21139.0,154827
2026-03-28 00:00:00,89243,59416.0,74297.0,39221.0,0.0,61439.0,89854,82743.0,496213,2026-03-28 00:00:00,55683,40815,53524.0,27257.0,0.0,40587.0,55497,63392.0,336755,2026-03-28 00:00:00,33560,18589,20773.0,11964.0,0.0,20845.0,34343,19351.0,159425,,,,2026-03-28 00:00:00,33560,18589,20773.0,11964.0,0.0,20845.0,34343,19351.0,159425
2026-04-04 00:00:00,84655,63738.0,74738.0,43399.0,0.0,75065.0,100461,95536.0,537592,2026-04-04 00:00:00,58258,45878,55722.0,31283.0,0.0,53477.0,59630,55494.0,359742,2026-04-04 00:00:00,26397,17845,19016.0,12116.0,0.0,21578.0,40809,40042.0,177803,,,,2026-04-04 00:00:00,26397,17845,19016.0,12116.0,0.0,21578.0,40809,40042.0,177803
2026-04-11 00:00:00,85343,66298.0,65702.0,39490.0,0.0,66025.0,93581,71741.0,488180,2026-04-11 00:00:00,57190,47176,46241.0,27937.0,0.0,44984.0,52005,48925.0,324458,2026-04-11 00:00:00,28153,19106,19461.0,11553.0,0.0,21029.0,41555,22816.0,163673,,,,2026-04-11 00:00:00,28153,19106,19461.0,11553.0,0.0,21029.0,41555,22816.0,163673
2026-04-18 00:00:00,84177,57993.0,69495.0,36612.0,0.0,69870.0,84714,64625.0,467486,2026-04-18 00:00:00,59253,40476,49424.0,25230.0,0.0,47735.0,49469,41686.0,313273,2026-04-18 00:00:00,24924,17503,20071.0,11382.0,0.0,22127.0,35224,22939.0,154170,,,,2026-04-18 00:00:00,24924,17503,20071.0,11382.0,0.0,22127.0,35224,22939.0,154170
