Warehouse,WeekEnding,DemandFulfillment,AFIFinanceDivision,FOBDemandFullfilment
1  ,2026-03-07,3034,Import Bedding,547624
1  ,2026-03-07,25961,Domestic Casegoods,2537223
1  ,2026-03-07,6224,Domestic Bedding,1972323
1  ,2026-03-07,37721,Upholstery,10593024
1  ,2026-03-07,42797,Import Casegoods,6215955
1  ,2026-03-07,4410,Imported Upholstery,2458276
15 ,2026-03-07,6293,Domestic Bedding,2127809
15 ,2026-03-07,3471,Import Bedding,651156
15 ,2026-03-07,25891,Upholstery,7489542
15 ,2026-03-07,14385,Domestic Casegoods,1373756
15 ,2026-03-07,29954,Import Casegoods,4441052
15 ,2026-03-07,2416,Imported Upholstery,1424494
15 ,2026-03-07,4,Marketplace,0
17 ,2026-03-07,42637,Import Casegoods,6593904
17 ,2026-03-07,25377,Upholstery,7407701
17 ,2026-03-07,5248,Domestic Bedding,1765057
17 ,2026-03-07,3116,Import Bedding,618720
17 ,2026-03-07,5202,Imported Upholstery,3080908
17 ,2026-03-07,15670,Domestic Casegoods,1473025
28 ,2026-03-07,2142,Imported Upholstery,1342658
28 ,2026-03-07,3509,Domestic Bedding,1230944
28 ,2026-03-07,10352,Domestic Casegoods,992077
28 ,2026-03-07,1760,Import Bedding,285264
28 ,2026-03-07,17111,Upholstery,5054232
28 ,2026-03-07,22259,Import Casegoods,3356206
335,2026-03-07,14,Domestic Casegoods,1738
335,2026-03-07,324,Import Bedding,166596
335,2026-03-07,13668,Imported Upholstery,9018056
335,2026-03-07,59294,Import Casegoods,10261872
335,2026-03-07,24815,Upholstery,6905756
42 ,2026-03-07,0,Domestic Casegoods,0
42 ,2026-03-07,0,Import Casegoods,0
42 ,2026-03-07,0,Upholstery,0
5  ,2026-03-07,2,Marketplace,0
5  ,2026-03-07,4549,Imported Upholstery,2650214
5  ,2026-03-07,37367,Import Casegoods,5491066
5  ,2026-03-07,8510,Domestic Casegoods,852490
5  ,2026-03-07,3251,Import Bedding,720744
5  ,2026-03-07,5560,Domestic Bedding,1993695
5  ,2026-03-07,19709,Upholstery,5708546
ECR,2026-03-07,5600,Imported Upholstery,3261442
ECR,2026-03-07,28756,Domestic Bedding,8075012
ECR,2026-03-07,51350,Import Casegoods,7904382
ECR,2026-03-07,53124,Upholstery,15506860
ECR,2026-03-07,3737,Import Bedding,703434
ECR,2026-03-07,6,Marketplace,0
ECR,2026-03-07,23834,Domestic Casegoods,2202936
1  ,2026-03-14,5769,Domestic Bedding,2031773
1  ,2026-03-14,14107,Domestic Casegoods,1404952
1  ,2026-03-14,2934,Imported Upholstery,1582258
1  ,2026-03-14,29734,Import Casegoods,4188520
1  ,2026-03-14,26224,Upholstery,7291368
1  ,2026-03-14,2590,Import Bedding,469614
15 ,2026-03-14,6592,Domestic Bedding,2498908
15 ,2026-03-14,23012,Import Casegoods,3543306
15 ,2026-03-14,5235,Import Bedding,985609
15 ,2026-03-14,2392,Imported Upholstery,1441978
15 ,2026-03-14,8,Marketplace,0
15 ,2026-03-14,7701,Domestic Casegoods,826960
15 ,2026-03-14,21210,Upholstery,5931172
17 ,2026-03-14,3557,Imported Upholstery,2111126
17 ,2026-03-14,3468,Import Bedding,689852
17 ,2026-03-14,27736,Import Casegoods,4182241
17 ,2026-03-14,7880,Domestic Casegoods,793762
17 ,2026-03-14,19356,Upholstery,5583410
17 ,2026-03-14,5657,Domestic Bedding,2136648
28 ,2026-03-14,10473,Upholstery,3061448
28 ,2026-03-14,3411,Import Bedding,643782
28 ,2026-03-14,3644,Domestic Bedding,1383721
28 ,2026-03-14,1739,Imported Upholstery,1052118
28 ,2026-03-14,4251,Domestic Casegoods,427577
28 ,2026-03-14,16400,Import Casegoods,2449763
335,2026-03-14,25465,Import Casegoods,3978979
335,2026-03-14,21,Domestic Casegoods,3410
335,2026-03-14,10296,Upholstery,2791928
335,2026-03-14,5051,Imported Upholstery,3297792
335,2026-03-14,753,Import Bedding,332356
42 ,2026-03-14,0,Domestic Casegoods,0
42 ,2026-03-14,0,Import Casegoods,0
42 ,2026-03-14,0,Upholstery,0
5  ,2026-03-14,5853,Domestic Casegoods,589649
5  ,2026-03-14,17663,Upholstery,5172799
5  ,2026-03-14,6490,Domestic Bedding,2439910
5  ,2026-03-14,3442,Imported Upholstery,2219252
5  ,2026-03-14,7,Marketplace,0
5  ,2026-03-14,5248,Import Bedding,1041886
5  ,2026-03-14,30662,Import Casegoods,4368852
ECR,2026-03-14,26783,Import Casegoods,4032588
ECR,2026-03-14,13,Marketplace,0
ECR,2026-03-14,4151,Imported Upholstery,2555825
ECR,2026-03-14,4096,Import Bedding,648547
ECR,2026-03-14,8725,Domestic Bedding,2668651
ECR,2026-03-14,32556,Upholstery,9550110
ECR,2026-03-14,10434,Domestic Casegoods,1039043
1  ,2026-03-21,33998,Import Casegoods,4934614
1  ,2026-03-21,5841,Domestic Bedding,2050369
1  ,2026-03-21,14565,Domestic Casegoods,1479106
1  ,2026-03-21,24032,Upholstery,6633192
1  ,2026-03-21,3848,Imported Upholstery,2150486
1  ,2026-03-21,3955,Import Bedding,672552
15 ,2026-03-21,6974,Domestic Bedding,2675851
15 ,2026-03-21,5495,Import Bedding,1043440
15 ,2026-03-21,21298,Import Casegoods,3168251
15 ,2026-03-21,15848,Upholstery,4531368
15 ,2026-03-21,2071,Imported Upholstery,1130256
15 ,2026-03-21,7045,Domestic Casegoods,751703
15 ,2026-03-21,8,Marketplace,0
17 ,2026-03-21,26126,Import Casegoods,4188432
17 ,2026-03-21,17873,Upholstery,5156546
17 ,2026-03-21,7663,Domestic Casegoods,789936
17 ,2026-03-21,3553,Imported Upholstery,1982060
17 ,2026-03-21,5602,Domestic Bedding,2093057
