FinancialDivision,(Multiple Items)
,
Row Labels,Sum of PurchaseOrderPcs
1  ,1261208
2025-03-08 00:00:00,15112
2025-03-15 00:00:00,60466
2025-03-22 00:00:00,59031
2025-03-29 00:00:00,81021
2025-04-05 00:00:00,6222
2025-04-12 00:00:00,27784
2025-04-19 00:00:00,20053
2025-04-26 00:00:00,51219
2025-05-03 00:00:00,38606
2025-05-10 00:00:00,33786
2025-05-17 00:00:00,34793
2025-05-24 00:00:00,44875
2025-05-31 00:00:00,28042
2025-06-07 00:00:00,22133
2025-06-14 00:00:00,22623
2025-06-21 00:00:00,24833
2025-06-28 00:00:00,31370
2025-07-05 00:00:00,29192
2025-07-12 00:00:00,27096
2025-07-19 00:00:00,28006
2025-07-26 00:00:00,30850
2025-08-02 00:00:00,32317
2025-08-09 00:00:00,30050
2025-08-16 00:00:00,29218
2025-08-23 00:00:00,29831
2025-08-30 00:00:00,34029
2025-09-06 00:00:00,32090
2025-09-13 00:00:00,33655
2025-09-20 00:00:00,30698
2025-09-27 00:00:00,31480
2025-10-04 00:00:00,39504
2025-10-11 00:00:00,33293
2025-10-18 00:00:00,33200
2025-10-25 00:00:00,32914
2025-11-01 00:00:00,44591
2025-11-08 00:00:00,38859
2025-11-15 00:00:00,38366
15 ,1347480
2025-03-08 00:00:00,13589
2025-03-15 00:00:00,74342
2025-03-22 00:00:00,41539
2025-03-29 00:00:00,25127
2025-04-05 00:00:00,40854
2025-04-12 00:00:00,32267
2025-04-19 00:00:00,60665
2025-04-26 00:00:00,28773
2025-05-03 00:00:00,41897
2025-05-10 00:00:00,43077
2025-05-17 00:00:00,43107
2025-05-24 00:00:00,52099
2025-05-31 00:00:00,24509
2025-06-07 00:00:00,28588
2025-06-14 00:00:00,24596
2025-06-21 00:00:00,28383
2025-06-28 00:00:00,27253
2025-07-05 00:00:00,30098
2025-07-12 00:00:00,27849
2025-07-19 00:00:00,28591
2025-07-26 00:00:00,30501
2025-08-02 00:00:00,39290
2025-08-09 00:00:00,31951
2025-08-16 00:00:00,31406
2025-08-23 00:00:00,32880
2025-08-30 00:00:00,33735
2025-09-06 00:00:00,38935
2025-09-13 00:00:00,37957
2025-09-20 00:00:00,34884
2025-09-27 00:00:00,36298
2025-10-04 00:00:00,43033
2025-10-11 00:00:00,36762
2025-10-18 00:00:00,35098
2025-10-25 00:00:00,35521
2025-11-01 00:00:00,52550
2025-11-08 00:00:00,40714
2025-11-15 00:00:00,38762
17 ,1383403
2025-03-08 00:00:00,32735
2025-03-15 00:00:00,50835
2025-03-22 00:00:00,37045
2025-03-29 00:00:00,56880
2025-04-05 00:00:00,22719
2025-04-12 00:00:00,48348
2025-04-19 00:00:00,43038
2025-04-26 00:00:00,31583
2025-05-03 00:00:00,21420
2025-05-10 00:00:00,40030
2025-05-17 00:00:00,44115
2025-05-24 00:00:00,56207
2025-05-31 00:00:00,41722
2025-06-07 00:00:00,29856
2025-06-14 00:00:00,28255
2025-06-21 00:00:00,30602
2025-06-28 00:00:00,33174
2025-07-05 00:00:00,35875
2025-07-12 00:00:00,30465
2025-07-19 00:00:00,31695
2025-07-26 00:00:00,32992
2025-08-02 00:00:00,36843
2025-08-09 00:00:00,34447
2025-08-16 00:00:00,33560
2025-08-23 00:00:00,34374
2025-08-30 00:00:00,35400
2025-09-06 00:00:00,35561
2025-09-13 00:00:00,38934
2025-09-20 00:00:00,34220
2025-09-27 00:00:00,34712
2025-10-04 00:00:00,42448
2025-10-11 00:00:00,36832
2025-10-18 00:00:00,36982
2025-10-25 00:00:00,36475
2025-11-01 00:00:00,48046
2025-11-08 00:00:00,43067
2025-11-15 00:00:00,41911
28 ,616267
2025-03-08 00:00:00,2838
2025-03-15 00:00:00,32049
2025-03-22 00:00:00,15520
2025-03-29 00:00:00,11308
2025-04-05 00:00:00,22438
2025-04-12 00:00:00,19596
2025-04-19 00:00:00,20744
2025-04-26 00:00:00,13685
2025-05-03 00:00:00,15893
2025-05-10 00:00:00,15608
2025-05-17 00:00:00,23343
2025-05-24 00:00:00,14743
2025-05-31 00:00:00,10907
2025-06-07 00:00:00,15340
2025-06-14 00:00:00,13924
2025-06-21 00:00:00,14569
2025-06-28 00:00:00,16118
2025-07-05 00:00:00,20336
2025-07-12 00:00:00,14146
2025-07-19 00:00:00,14672
2025-07-26 00:00:00,14559
2025-08-02 00:00:00,17057
2025-08-09 00:00:00,15153
2025-08-16 00:00:00,15108
2025-08-23 00:00:00,17017
2025-08-30 00:00:00,14773
2025-09-06 00:00:00,16355
2025-09-13 00:00:00,16638
2025-09-20 00:00:00,15308
2025-09-27 00:00:00,15748
2025-10-04 00:00:00,21272
2025-10-11 00:00:00,16581
2025-10-18 00:00:00,16580
2025-10-25 00:00:00,17194
2025-11-01 00:00:00,21758
2025-11-08 00:00:00,18727
2025-11-15 00:00:00,18662
42 ,404
2025-03-08 00:00:00,404
2025-03-15 00:00:00,0
2025-03-22 00:00:00,0
2025-03-29 00:00:00,0
2025-04-05 00:00:00,0
2025-04-12 00:00:00,0
2025-04-19 00:00:00,0
2025-04-26 00:00:00,0
2025-05-03 00:00:00,0
2025-05-10 00:00:00,0
2025-05-17 00:00:00,0
2025-05-24 00:00:00,0
