Week Ending Date,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Unnamed: 10,WE Date,Total Adjusted OB (Delta) Volume ,Billable ,Ecomm
2026-03-07 00:00:00,107984.386,27316980.58,252.97157850209936,7117,1334399.25,187.49462554447098,115101.386,28651379.83,248.92297847742682,,2026-03-28 00:00:00,87722.0,77619.0,10103.0
2026-02-28 00:00:00,89967.197,23557159.1,261.8416476840998,7503,1490149.19,198.60711582033852,97470.197,25047308.290000003,256.974019350756,,2026-04-04 00:00:00,92435.0,82171.0,10264.0
2026-02-21 00:00:00,88604.261,22524817.63,254.2182212884773,11977,2375535.02,198.34140602822075,100581.261,24900352.65,247.56453043474966,,2026-04-11 00:00:00,84741.0,76035.0,8706.0
2026-02-14 00:00:00,88098.242,22430368.28,254.60630962420342,7246,1405904.73,194.02494203698592,95344.242,23836273.01,250.00222887083208,,2026-04-18 00:00:00,77399.0,69106.0,8293.0
2026-02-07 00:00:00,80433.298,20181883.45,250.9145335554934,7731,1340824.31,173.43478333980082,88164.298,21522707.759999998,244.12044612434843,,2026-04-25 00:00:00,85047.0,76810.0,8237.0
2026-01-31 00:00:00,50458.297,12884622.03,255.35190040202903,5473,936516.06,171.1156696510141,55931.297,13821138.09,247.1092005965819,,2026-05-02 00:00:00,82280.0,72825.0,9455.0
2026-01-24 00:00:00,80539.348,20948426.9,260.1017691377387,6409,1099366.67,171.5348213449836,86948.348,22047793.57,253.5734614532297,,2026-05-09 00:00:00,79492.0,69728.0,9764.0
2026-01-17 00:00:00,84051.328,22190325.03,264.00921386988676,7450,1400443.3,187.97896644295304,91501.328,23590768.330000002,257.8188628038273,,2026-05-16 00:00:00,75493.0,65769.0,9724.0
2026-01-10 00:00:00,83721.309,20795781.61,248.39293434841065,8192,1508736.25,184.17190551757812,91913.309,22304517.86,242.6690770103816,,2026-05-23 00:00:00,79352.0,67219.0,12133.0
2026-01-03 00:00:00,58835.217,14152813.61,240.5500367237534,9677,1715860.58,177.3132768419965,68512.217,15868674.19,231.61816804147497,,2026-05-30 00:00:00,88514.0,73517.0,14997.0
2025-12-27 00:00:00,58710.071,14660157.19,249.70430013617252,7612,1344466.72,176.62463478717814,66322.071,16004623.91,241.31670903340762,,2026-06-06 00:00:00,86211.0,77342.0,8869.0
2025-12-20 00:00:00,89473.369,22528195.5,251.7866014411506,8603,1595629.99,185.47367081250727,98076.369,24123825.49,245.969806345502,,2026-06-13 00:00:00,90174.0,81779.0,8395.0
2025-12-13 00:00:00,89022.422,22771502.8,255.7951388920872,10437,2032142.44,194.7056088914439,99459.422,24803645.240000002,249.38457052364532,,2026-06-20 00:00:00,77788.0,69125.0,8663.0
2025-12-06 00:00:00,104895.414,26798941.99,255.48249411551964,16331,2981834,182.5873492131529,121226.414,29780775.99,245.66243450870365,,2026-06-27 00:00:00,77667.0,65841.0,11826.0
2025-11-29 00:00:00,73179.376,18612748.5,254.34418161750926,17130,2908435.06,169.78605137186224,90309.376,21521183.56,238.3050853988848,,2026-07-04 00:00:00,85703.0,72924.0,12779.0
2025-11-22 00:00:00,97368.295,24449017.64,251.09834407596438,9147,1530530.92,167.32599978134905,106515.295,25979548.560000002,243.9043947632122,,2026-07-11 00:00:00,89193.0,78043.0,11150.0
2025-11-15 00:00:00,89819.452,22645960.37,252.12757221008206,8166,1318012.13,161.40241611560126,97985.452,23963972.5,244.5666373004025,,2026-07-18 00:00:00,81178.0,77567.0,3611.0
2025-11-08 00:00:00,88574.302,21915507.37,247.42512077600117,7443,1222803.54,164.28906892382105,96017.302,23138310.91,240.98064023919358,,2026-07-25 00:00:00,76361.0,73228.0,3133.0
Total,1503735.584,381365209.58000004,253.61188073075488,163644,29541590.16,180.52351543594634,1667379.5839999998,410906799.74000007,246.43866560621154,,2026-08-01 00:00:00,84128.0,80854.0,3274.0
,,,,,,,,,,,2026-08-08 00:00:00,82547.0,79215.0,3332.0
% Billable Freight,0.9018555813143507,,,,,,,,,,2026-08-15 00:00:00,80255.0,77065.0,3190.0
% Ecomm Freight,0.09814441868564945,,,,,,,,,,2026-08-22 00:00:00,80349.0,77182.0,3167.0
Total ASP,246.43866560621154,,,,,,,,,,2026-08-29 00:00:00,83964.0,80013.0,3951.0
,,,,,,,,,,,2026-09-05 00:00:00,85998.0,81061.0,4937.0
,,,,,,,,,,,2026-09-12 00:00:00,83609.0,80316.0,3293.0
Sum of Units_Gross,,,,Ecomm,Shipping,,,,,,Grand Total,1907993.0,1720977.0,187016.0
Row Labels,Ecru Ecomm,ECR Shipping,Grand Total,%,%,,,,,,,,,
2024-10-12 00:00:00,8614,97668.347,106282.347,0.08104826665146941,0.9189517333485305,,,,,,,,,
2024-10-19 00:00:00,6772,96364.344,103136.344,0.06566065595654622,0.9343393440434538,,,,,,,,,
2024-10-26 00:00:00,6517,92463.385,98980.385,0.06584132805706909,0.9341586719429309,,,,,,,,,
2024-11-02 00:00:00,7539,91296.319,98835.319,0.07627840003227995,0.9237215999677201,,,,,,,,,
2024-11-09 00:00:00,8810,99002.381,107812.381,0.08171603222453644,0.9182839677754635,,,,,,,,,
2024-11-16 00:00:00,12351,104807.351,117158.351,0.10542142232780316,0.8945785776721968,,,,,,,,,
2024-11-23 00:00:00,16224,115698.525,74038,0.21913071665901293,1.5626911180745022,,,,,,,,,
2024-11-30 00:00:00,25365,78663,79914,0.3174037089871612,0.9843456715969667,,,,,,,,,
2024-12-07 00:00:00,20598,118499,84915,0.24257198374845435,1.3955013837366779,,,,,,,,,
2024-12-14 00:00:00,11807,93130,75779,0.15580833740218267,1.2289684477229839,,,,,,,,,
2024-12-21 00:00:00,11475,92950,91589,0.1252879712629246,1.014859863083995,,,,,,,,,
