ECR,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
ECR,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,ECR,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru
CG,Casegoods,,,,,,,,,,,,UPH,Upholstery,,,,,,,,,,,,,Total,,,,,,,,,,,
,Start,Billable,Ecomm,IB,CG-LC,UPH-LC,OB Trans,End,Capacity ,% Utilized,Max Capacity,$ Utilized,,Start,Billable,Ecomm,IB,CG-LC,UPH-LC,OB Trans,End,Capacity ,% Utilized,Max Capacity,$ Utilized,,Start,Billable,Ecomm,IB,CG-LC,UPH-LC,OB Trans,End,Capacity ,% Utilized,Max Capacity,$ Utilized
2026-02-14 00:00:00,378399,48872,7207,72297,0,0,3298,391319,525982,0.7439779308037158,525982,0.7439779308037158,,89187,39228,39,13734,0,34745,4657,93742,134688,0.6959937039676883,134688,0.6959937039676883,,467586,88100,7246,86031,0,34745,7955,485061,660670,0.7341955893259873,660670,0.7341955893259873
2026-02-21 00:00:00,380653,51032,11921,75896,0,0,10493,383103,525982,0.7283576244053979,525982,0.7283576244053979,,94006,37576,56,12737,0,34615,6646,97080,134688,0.7207769066286529,134688,0.7207769066286529,,474659,88608,11977,88633,0,34615,17139,480183,660670,0.7268121755187915,660670,0.7268121755187915
2026-02-28 00:00:00,392503,48071,7457,66058,0,0,8986,394047,525982,0.7491644200752117,525982,0.7491644200752117,,98585,41899,46,13436,0,33382,5385,98073,134688,0.7281495010691376,134688,0.7281495010691376,,491088,89970,7503,79494,0,33382,14371,492120,660670,0.7448801973753917,660670,0.7448801973753917
2026-03-07 00:00:00,405255,65871,7037,69910,0,0,5751,396506,525982,0.7538394850013879,525982,0.7538394850013879,,98063,42117,80,12012,0,32696,5374,95200,134688,0.7068187217866476,134688,0.7068187217866476,,503318,107988,7117,81922,0,32696,11125,491706,660670,0.744253560779209,660670,0.744253560779209
2026-03-14 00:00:00,398273,60295,6457,66704,0,0,3543,394682,525982,0.7503716857230855,525982,0.7503716857230855,,96410,39797,42,11981,0,32920,6832,94640,134688,0.7026609645996674,134688,0.7026609645996674,,494683,100092,6499,78685,0,32920,10375,489322,660670,0.7406451026987755,660670,0.7406451026987755
2026-03-21 00:00:00,387527,46645,6867,64712,0,0,4342,394385,525982,0.7498070276169146,525982,0.7498070276169146,,94854,34807,31,14160,0,32794,5565,101405,134688,0.7528881563316703,134688,0.7528881563316703,,482381,81452,6898,78872,0,32794,9907,495790,660670,0.7504351643029046,660670,0.7504351643029046
2026-03-28 00:00:00,379775,45466,,39412,0,,4800,368921,525982,0.7013947245342996,525982,0.7013947245342996,,100803,33749,,12784,,29734,5800,103772,134688,0.7704621050130672,134688,0.7704621050130672,,480578,79215,0,52196,0,29734,10600,472693,660670,0.7154751994187718,660670,0.7154751994187718
