ECRU HC Review,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Week,Period,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Final HC,HC Need,,Definitions,,,,,,,,,60 DAY ,ECR
2026-02-14 00:00:00,FEB,335.91650000000004,,,,38.476,335.91650000000004,,,"Dept HC: SUM of Direct Labor Associates (Shipping, Ecom, CG/UPH Rec, UPH-LC, Transfers)
Terminations: Forecasted Terminations Based Off Historical Data For Direct Labor Associates
Hires: Requested Hires for Direct Labor Associates
WC/LOA: Active Direct Labor Associates WC/LOA
Working HC: (Dept HC - (Terminations+ WC/LOA))  + Hires
HC Need: Current Week Working HC - Fiscal Week Working HC",,,,,,,,,Horizon Hiring Needs,120.23076923076923
2026-02-21 00:00:00,FEB,334.871,,,,45.495,334.871,,,,,,,,,,,,Net Hiring Needs,31
2026-02-28 00:00:00,FEB,327.972,,,,52.68,327.972,,,,,,,,,,,,Turnover Hiring Needs,89.23076923076923
2026-03-07 00:00:00,MAR,344.60975,,,,78.60300000000001,344.60975,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,344.348,,,,74.96375,344.348,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,,,,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,354,9,26,0,0,371,-8,,,,,,,,,,,,
2026-04-04 00:00:00,APR,371,12,20,0,0,379,-7,,,,,,,,,,,,
2026-04-11 00:00:00,APR,379,12,11,0,0,378,-5,,,,,,,,,,,,
2026-04-18 00:00:00,APR,378,12,10,0,0,376,-4,,Department Updated 3/24,YTD Hired ,YTD Termed,,,,,,,,
2026-04-25 00:00:00,APR,376,12,11,0,0,375,-6,,ECR WHS Receiving,5,19,,,,,,,,
2026-05-02 00:00:00,MAY,375,12,14,0,0,377,-9,,ECR WHS Shipping,27,52,,,,,,,,
2026-05-09 00:00:00,MAY,377,12,15,0,0,380,-14,,ECR WHS Transfers,1,14,,,,,,,,
2026-05-16 00:00:00,MAY,380,14,19,0,0,385,-23,,ECR WHS UPH Line Clearing,29,32,,,,,,,,
2026-05-23 00:00:00,MAY,385,12,21,0,0,394,-30,,ECR WHS UPH Receiving,6,10,,,,,,,,
2026-05-30 00:00:00,MAY,394,12,19,0,0,401,-37,,TOTAL HIRE VS TO ,68,127,,,,,,,,
2026-06-06 00:00:00,JUN,401,12,19,0,0,408,-38,,,,,,,,,,,,
2026-06-13 00:00:00,JUN,408,12,13,0,0,409,-33,,,,,,,,,,,,
2026-06-20 00:00:00,JUN,409,12,7,0,0,404,-28,,,,,,,,,,,,
2026-06-27 00:00:00,JUN,404,12,7,0,0,399,-19,,,,,,,,,,,,
2026-07-04 00:00:00,JUL,399,16,7,0,0,390,-13,,,,,,,,,,,,
2026-07-11 00:00:00,JUL,390,15,9,0,0,384,-8,,,,,,,,,,,,
2026-07-18 00:00:00,JUL,384,14,9,0,0,379,-5,,,,,,,,,,,,
2026-07-25 00:00:00,JUL,379,12,9,0,0,376,-2,,,,,,,,,,,,
2026-08-01 00:00:00,AUG,376,12,9,0,0,373,1,,,,,,,,,,,,
2026-08-08 00:00:00,AUG,373,12,9,0,0,370,4,,,,,,,,,,,,
2026-08-15 00:00:00,AUG,370,12,9,0,0,367,4,,,,,,,,,,,,
2026-08-22 00:00:00,AUG,367,12,12,0,0,367,2,,,,,,,,,,,,
2026-08-29 00:00:00,AUG,367,12,14,0,0,369,0,,,,,,,,,,,,
2026-09-05 00:00:00,SEP,369,12,14,0,0,371,-,,,,,,,,,,,,
