Warehouse,Snapshot Week,Storage Type,Total DF%,Avg DF%,Adj Join,%,DF% ,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1,0,Casegoods,0.987438,0.992891,Casegoods_1_0,61,0.95922464,,,,,,,,,
1,0,Upholstery,0.899126,0.906567,Upholstery_1_0,39,,,,,,,,,,
1,1,Casegoods,0.995544,1,Casegoods_1_1,61,1,,,,,,,,,
1,1,Upholstery,1.003348,1,Upholstery_1_1,39,,,,,,,,,,
1,2,Casegoods,0.937767,0.977188,Upholstery_1_2,61,0.9655570299999999,,,,,,,,,
1,2,Upholstery,0.963291,0.947365,Casegoods_1_2,39,,,,,,,,,,
1,3,Casegoods,0.965702,0.975107,Casegoods_1_3,61,0.96250688,,,,,,,,,
1,3,Upholstery,0.931946,0.942799,Upholstery_1_3,39,,,,,,,,,,
1,4,Casegoods,0.963573,0.975491,Casegoods_1_4,61,0.95290571,,,,,,,,,
1,4,Upholstery,0.907366,0.91758,Upholstery_1_4,39,,,,,,,,,,
1,5,Casegoods,0.990529,1,Casegoods_1_5,61,0.94352761,,,,,,,,,
1,5,Upholstery,0.839561,0.855199,Upholstery_1_5,39,,,,,,,,,,
1,6,Casegoods,1.030189,1,Casegoods_1_6,61,0.9900975099999999,,,,,,,,,
1,6,Upholstery,0.962212,0.974609,Upholstery_1_6,39,,,,,,,,,,
1,7,Casegoods,1.072707,1,Casegoods_1_7,61,1,,,,,,,,,
1,7,Upholstery,1.005484,1,Upholstery_1_7,39,,,,,,,,,,
1,8,Casegoods,1.040879,1,Casegoods_1_8,61,0.98981554,,,,,,,,,
1,8,Upholstery,0.958604,0.973886,Upholstery_1_8,39,,,,,,,,,,
1,9,Casegoods,0.980649,0.982157,Casegoods_1_9,61,0.9590393599999999,,,,,,,,,
1,9,Upholstery,0.913731,0.922881,Upholstery_1_9,39,,,,,,,,,,
1,10,Casegoods,0.848057,0.8589,Casegoods_1_10,61,0.85694181,,,,,,,,,
1,10,Upholstery,0.843504,0.853879,Upholstery_1_10,39,,,,,,,,,,
1,11,Casegoods,0.85739,0.861894,Casegoods_1_11,61,0.82388733,,,,,,,,,
1,11,Upholstery,0.752638,0.764441,Upholstery_1_11,39,,,,,,,,,,
1,12,Casegoods,0.787956,0.886634,Upholstery_1_12,61,0.85171184,,,,,,,,,
1,12,Upholstery,0.885545,0.79709,Casegoods_1_12,39,,,,,,,,,,
1,13,Casegoods,0.923664,0.925358,Casegoods_1_13,61,0.88719806,,,,,,,,,
1,13,Upholstery,0.814618,0.827512,Upholstery_1_13,39,,,,,,,,,,
1,14,Casegoods,0.953104,0.954774,Casegoods_1_14,61,0.9101938799999999,,,,,,,,,
1,14,Upholstery,0.828962,0.840466,Upholstery_1_14,39,,,,,,,,,,
1,15,Casegoods,0.960323,0.962622,Casegoods_1_15,61,0.92241807,,,,,,,,,
1,15,Upholstery,0.848314,0.859535,Upholstery_1_15,39,,,,,,,,,,
1,16,Casegoods,0.861564,0.965608,Upholstery_1_16,61,0.92982316,,,,,,,,,
1,16,Upholstery,0.963858,0.873852,Casegoods_1_16,39,,,,,,,,,,
1,17,Casegoods,1,0.962702,Casegoods_1_17,61,0.9293000599999999,,,,,,,,,
1,17,Upholstery,1,0.877056,Upholstery_1_17,39,,,,,,,,,,
1,18,Casegoods,1,0.956024,Upholstery_1_18,61,0.92932733,,,,,,,,,
1,18,Upholstery,1,0.887571,Casegoods_1_18,39,,,,,,,,,,
1,19,Casegoods,1,0.957542,Casegoods_1_19,61,0.93612281,,,,,,,,,
1,19,Upholstery,1,0.902621,Upholstery_1_19,39,,,,,,,,,,
1,20,Casegoods,1,0.967246,Upholstery_1_20,61,0.94535881,,,,,,,,,
1,20,Upholstery,1,0.911125,Casegoods_1_20,39,,,,,,,,,,
1,21,Casegoods,1,0.971203,Casegoods_1_21,61,0.95154778,,,,,,,,,
1,21,Upholstery,1,0.920805,Upholstery_1_21,39,,,,,,,,,,
1,22,Casegoods,1,0.976524,Casegoods_1_22,61,0.9554760899999999,,,,,,,,,
1,22,Upholstery,1,0.922555,Upholstery_1_22,39,,,,,,,,,,
1,23,Casegoods,1,0.976613,Casegoods_1_23,61,0.95616608,,,,,,,,,
1,23,Upholstery,1,0.924185,Upholstery_1_23,39,,,,,,,,,,
1,24,Casegoods,1,0.975012,Upholstery_1_24,61,0.9562518299999999,,,,,,,,,
1,24,Upholstery,1,0.926909,Casegoods_1_24,39,,,,,,,,,,
1,25,Casegoods,1,0.964199,Upholstery_1_25,61,0.94816298,,,,,,,,,
1,25,Upholstery,1,0.923081,Casegoods_1_25,39,,,,,,,,,,
1,26,Casegoods,1,0.962964,Casegoods_1_26,61,0.9478986900000002,,,,,,,,,
1,26,Upholstery,1,0.924335,Upholstery_1_26,39,,,,,,,,,,
