UPH Line Clearing,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,15,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,15.1,UPH Line Clearing.1
UPH Line Clearing Invoice Potential,,,,UPH Line Clearing HC Review,,,,,,,,UPH Line Clearing Capacity Review,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40 Hours,,,,,,45 Hours,,,50 Hours,,,55 Hours,,,,,,,,,,
Week,Period,PCS FCST,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,Daily Working Hours,Weekly Working Hours,OT%,Total Hours,Capacity (40),Weekly Working Hours,Total Hours,Capacity (45),Weekly Working Hours,Total Hours,Capacity (50),Weekly Working Hours,Total Hours,Capacity (55),,,,,,,,
2026-02-21 00:00:00,FEB,15089,,47,0,0,0,0.76225,,47.76225,,8.68,,,0.0176,1737.37,,,,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,12034,,38,0,0,0,0.8300000000000001,,38.83,,8.29,,,0.0229,1451.65,,,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,13078,,41,0,0,0,1.3255000000000001,,42.3255,,8.66,,,0.0351,1510.42,,,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,11484,,31,0,0,0,1.95775,,32.95775,,9.24,,,0.063,1243.41,,,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,11994,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,0,,0,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04 00:00:00,APR,12332,,29,0,0,0,0,0.1859,23.6089,,9.5,10,40,,944.356,8971,45,1062.4005,10092,50,1180.445,11214.227499999999,55,1298.4895,12335.650249999999,,,,,,,,
2026-04-11 00:00:00,APR,12367,,29,0,2,0,5,0.1859,28.6089,,9.5,10,40,,1144.356,10871,45,1287.4005,12230,50,1430.445,13589.227499999999,55,1573.4895,14948.150249999999,,,,,,,,
2026-04-18 00:00:00,APR,12293,,31,0,2,0,5,0.1859,30.237099999999998,,9.75,10,40,,1209.484,11792,45,1360.6695,13266,50,1511.855,14740.58625,55,1663.0404999999998,16214.644874999998,,,,,,,,
2026-04-25 00:00:00,APR,9849,,33,1,2,0,4,0.1859,30.865299999999998,,9.75,10,40,,1234.6119999999999,12037,45,1388.9385,13542,50,1543.2649999999999,15046.833749999998,55,1697.5914999999998,16551.517125,,,,,,,,
2026-05-02 00:00:00,MAY,5782,,34,0,1,0,4,0.1859,31.6794,,9.75,10,40,,1267.176,12354,45,1425.573,13899,50,1583.97,15443.7075,55,1742.367,16988.07825,,,,,,,,
