Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104
,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,,Leesport,Leesport,Leesport,Leesport,Leesport,Leesport,Leesport,Leesport,Leesport,Leesport,Leesport,Leesport,Leesport,Leesport,,Advance,Advance,Advance,Advance,Advance,Advance,Advance,Advance,Advance,Advance,Advance,Advance,Advance,Advance,,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,Mesquite,,Redlands,Redlands,Redlands,Redlands,Redlands,Redlands,Redlands,Redlands,Redlands,Redlands,Redlands,Redlands,Redlands,Redlands,,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,Ecru,,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Shipping - Non-Ecomm,Shipping - Non-Ecomm,Ecomm Shipments,Ecomm Shipments,CG - Receiving,CG - Receiving,UPH - Receiving,UPH - Receiving,DOM Line Clearing,DOM Line Clearing,UPH Line Clearing,UPH Line Clearing,Outbound Xfers,Outbound Xfers,,Shipping - Non-Ecomm,Shipping - Non-Ecomm,Ecomm Shipments,Ecomm Shipments,CG - Receiving,CG - Receiving,UPH - Receiving,UPH - Receiving,DOM Line Clearing,DOM Line Clearing,UPH Line Clearing,UPH Line Clearing,Outbound Xfers,Outbound Xfers,,Shipping - Non-Ecomm,Shipping - Non-Ecomm,Ecomm Shipments,Ecomm Shipments,CG - Receiving,CG - Receiving,UPH - Receiving,UPH - Receiving,DOM Line Clearing,DOM Line Clearing,UPH Line Clearing,UPH Line Clearing,Outbound Xfers,Outbound Xfers,,Shipping - Non-Ecomm,Shipping - Non-Ecomm,Ecomm Shipments,Ecomm Shipments,CG - Receiving,CG - Receiving,UPH - Receiving,UPH - Receiving,DOM Line Clearing,DOM Line Clearing,UPH Line Clearing,UPH Line Clearing,Outbound Xfers,Outbound Xfers,,Shipping - Non-Ecomm,Shipping - Non-Ecomm,Ecomm Shipments,Ecomm Shipments,CG - Receiving,CG - Receiving,UPH - Receiving,UPH - Receiving,DOM Line Clearing,DOM Line Clearing,UPH Line Clearing,UPH Line Clearing,Outbound Xfers,Outbound Xfers,,Shipping - Non-Ecomm,Shipping - Non-Ecomm,Ecomm Shipments,Ecomm Shipments,CG - Receiving,CG - Receiving,UPH - Receiving,UPH - Receiving,DOM Line Clearing,DOM Line Clearing,UPH Line Clearing,UPH Line Clearing,Outbound Xfers,Outbound Xfers,,Shipping - Non-Ecomm,Shipping - Non-Ecomm,Ecomm Shipments,Ecomm Shipments,CG - Receiving,CG - Receiving,UPH - Receiving,UPH - Receiving,DOM Line Clearing,DOM Line Clearing,UPH Line Clearing,UPH Line Clearing,Outbound Xfers,Outbound Xfers
,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH,CG,UPH
2026-02-14,46359,27544,7736,61,41649,2,1649,11625,47846,0,0,23956,24219,4293,,25970,17704,13538,107,50649,2,798,6300,0,0,0,15489,5165,442,,38929,20878,8292,128,61752,45,766,10947,0,0,0,12793,2783,438,,19426,11674,6090,82,29466,1,914,8290,0,0,0,6234,769,178,,33025,19785,11735,65,49754,27,905,20430,0,0,0,0,4769,644,,48872,39228,7207,39,71618,504,679,13230,0,0,0,34745,3298,4657,,212581,136813,54598,482,304888,581,5711,70822,47846,0,0,93217,41003,10652
2026-02-21,47477,29783,9911,61,45918,49,1120,12498,44220,0,0,24106,35741,4490,,27200,17060,22208,169,57290,0,858,6591,0,0,0,15089,9544,442,,38772,21469,11703,206,64900,79,1976,9291,0,0,0,11220,2032,839,,19141,12147,7814,95,34596,7,723,7348,0,0,0,5559,1175,522,,33754,19441,17847,107,46202,75,1506,19498,0,0,0,0,2844,429,,51032,37576,11921,56,74996,339,900,12398,0,0,0,34615,10493,6646,,217376,137476,81404,694,323902,549,7083,67624,44220,0,0,90589,61829,13368
2026-02-28,53134,29277,8025,68,50763,211,1414,11521,43430,0,0,20459,39552,4048,,30121,17693,13028,132,43130,0,296,6699,0,0,0,12034,6829,1271,,38117,20635,9939,205,62005,68,1206,10494,0,0,0,12875,2634,417,,19260,13045,6483,91,33478,6,646,8961,0,0,0,5433,1460,980,,38144,20900,12501,59,53947,88,1019,18736,0,0,0,0,4362,272,,48071,41899,7457,46,65479,149,579,13287,0,0,0,33382,8986,5385,,226847,143449,57433,601,308802,522,5160,69698,43430,0,0,84183,63823,12373
2026-03-07,57112,29060,6471,73,43383,65,1807,10535,43005,0,0,22047,30871,3421,,31857,19575,12155,116,59739,0,1059,6677,0,0,0,13078,6481,1025,,39888,21844,9309,151,56252,44,1313,12198,0,0,0,12108,2402,736,,25410,14794,5822,92,32428,3,1060,9123,0,0,0,4781,1855,441,,35953,20731,11403,51,43126,23,1137,19285,0,0,0,0,3729,1546,,65871,42117,7037,80,69005,568,905,11444,0,0,0,32696,5751,5374,,256091,148121,52197,563,303933,703,7281,69262,43005,0,0,84710,51089,12543
2026-03-14,58107,31221,6513,85,51417,104,1385,9847,45490,0,0,21942,26933,4094,,32825,21494,12064,143,64187,145,977,9472,0,0,0,11484,7546,1781,,39975,22983,9081,175,61668,82,1583,10203,0,0,0,12276,1669,1036,,24083,13771,5804,105,29036,3,255,7870,0,0,0,4920,1518,436,,33773,20574,10851,66,45132,25,1001,20321,0,0,0,0,5184,483,,60295,39797,6457,42,66215,786,489,11195,0,0,0,32920,3543,6832,,249058,149840,50770,616,317655,1145,5690,68908,45490,0,0,83542,46393,14662
2026-03-21,52370,26757,6999,85,37234,135,680,7721,43330,0,0,19186,26934,2506,,30511,19183,9810,89,46456,0,977,6950,0,0,0,11994,7659,1414,,38825,21747,10054,178,53969,76,1224,9133,0,0,0,11782,1628,873,,21160,11781,5441,83,29483,5,1048,7003,0,0,0,4408,2802,870,,36092,18069,10274,65,45503,19,942,18535,0,0,0,0,3812,521,,46645,34807,6867,31,63690,816,1022,13344,0,0,0,32794,4342,5565,,225603,132344,49445,531,276335,1051,5893,62686,43330,0,0,80164,47177,11749
2026-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
