WeekEnding,Warehouse,Warehouse_Desc,Department,Department_Desc,Activity_Desc,Hours_Reg_Total,Hours_OT_Total,Hours_Total,OT %,Headcount_Total,Units_BED,Units_DOM,Units_IMP,Units_IMPUP,Units_UPH,Units_RTA,Units_Gross,NonYard_PPH,% UPH Shipped/Trans,LaborDollars_Reg_Total,LaborDollars_OT_Total,LaborDollars_Total,GrossAmount_NoFreight,GrossAmount_WithFreight,ASP_WithFreight,ASP_NoFreight,NonYard_Pieces/HC_Ratio,NonYard_CostPerPiece,NonYard_SalesPerEmployee,NonYard_SalesPerLaborHour,NonYard_SalesPerUnit,Yard_CostPerMove,Yard_DirMovesFrom,Yard_DirMovesTo,Yard_Moves/HC_Ratio,Yard_MPH,Yard_SalesPerMove,Yard_TotalMoves,Yard_UndirMoves,Yard_UnitsSoldPerMove
2026-01-24 00:00:00,1,Arcadia,1322.0,Arcadia Shipping,Shipping - Non-Ecomm,4514.51,153.09,4967.6,0.0308,121.0,4538.0,15735.0,24879.0,2848.0,22695.0,0.0,70695.0,14.23,0.3613,125588.07,7141.99,132730.06,14042838.0,15170331.0,214.59,198.64,584.26,1.88,125374.6372,3053.85,214.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24 00:00:00,1,Arcadia,1344.0,Arcadia CG Receiving,CG - Receiving,2188.26,158.52,2346.79,0.0675,62.0,10024.0,212.0,35080.0,53.0,0.0,0.0,45369.0,19.33,0.0,49915.97,5615.63,55531.6,0.0,0.0,0.0,0.0,731.76,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24 00:00:00,1,Arcadia,1345.0,Arcadia DOM LC,DOM Line Clearing,511.96,13.84,565.81,0.0245,14.0,0.0,50212.0,0.0,0.0,0.0,0.0,50212.0,88.74,0.0,10577.84,425.6,11003.44,0.0,0.0,0.0,0.0,3586.57,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24 00:00:00,1,Arcadia,1364.0,Arcadia Transfers,Outbound Xfers,708.3,122.66,830.96,0.1476,19.0,250.0,33653.0,2530.0,237.0,2107.0,0.0,38777.0,46.67,0.0604,16225.24,4177.43,20402.67,0.0,0.0,0.0,0.0,2040.89,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24 00:00:00,1,Arcadia,1421.0,Arcadia LC,UPH Line Clearing,1394.32,285.41,1679.73,0.1699,36.0,0.0,0.0,0.0,0.0,25362.0,0.0,25362.0,15.1,0.0,29313.6,8987.34,38300.94,0.0,0.0,0.0,0.0,704.5,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24 00:00:00,1,Arcadia,1443.0,Arcadia Ecomm,Ecomm Shipments,158.95,2.76,161.71,0.0171,5.0,2706.0,194.0,2955.0,6.0,56.0,0.0,5917.0,36.59,0.0,3290.25,89.84,3380.09,894686.0,929593.0,157.11,151.21,1183.4,0.57,185918.53,5748.42,157.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24 00:00:00,1,Arcadia,1448.0,Arcadia UPH Receiving,UPH - Receiving,764.17,34.53,918.7,0.0376,21.0,174.0,0.0,769.0,3074.0,7352.0,0.0,11369.0,12.38,0.0,17337.2,1173.59,18510.79,0.0,0.0,0.0,0.0,541.38,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24 00:00:00,15,Leesport,3316.0,LPT CG Receiving,CG - Receiving,2796.22,442.56,3238.78,0.1366,78.0,18508.0,10910.0,31678.0,0.0,0.0,0.0,61096.0,18.86,0.0,65466.25,15995.45,81461.7,0.0,0.0,0.0,0.0,783.28,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24 00:00:00,15,Leesport,3335.0,LPT transfers,Outbound Xfers,379.61,21.87,401.48,0.0545,11.0,367.0,0.0,6090.0,163.0,717.0,0.0,7337.0,18.27,0.1199,8528.56,761.62,9290.18,0.0,0.0,0.0,0.0,667.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-24 00:00:00,15,Leesport,3338.0,LPT LC,UPH Line Clearing,1564.08,209.36,1773.44,0.1181,41.0,0.0,0.0,0.0,0.0,15599.0,0.0,15599.0,8.8,0.0,34088.54,6938.57,41027.11,0.0,0.0,0.0,0.0,380.46,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
