MSQ HC Review,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Week,Period,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Final HC,HC Need,,Definitions,,,,,,,,,60 DAY ,MSQ
2026-02-14 00:00:00,FEB,134.8705,,,,3.4332499999999997,134.8705,,,"Dept HC: SUM of Direct Labor Associates (Shipping, Ecom, CG/UPH Rec, UPH-LC, Transfers)
Terminations: Forecasted Terminations Based Off Historical Data For Direct Labor Associates
Hires: Requested Hires for Direct Labor Associates
WC/LOA: Active Direct Labor Associates WC/LOA
Working HC: (Dept HC - (Terminations+ WC/LOA))  + Hires
HC Need: Current Week Working HC - Fiscal Week Working HC",,,,,,,,,Horizon Hiring Needs,38.76923076923077
2026-02-21 00:00:00,FEB,139.918,,,,6.51475,139.918,,,,,,,,,,,,Net Hiring Needs,0
2026-02-28 00:00:00,FEB,145.917,,,,10.1875,145.917,,,,,,,,,,,,Turnover Hiring Needs,38.76923076923077
2026-03-07 00:00:00,MAR,150.08525,,,,12.952,150.08525,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,146.333,,,,7.933000000000001,146.333,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,0,,,,0,0,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,167,1,2,0,0,168,-1,,,,,,,,,,,,
2026-04-04 00:00:00,APR,167,0,0,0,0,167,-1,,,,,,,,,,,,
2026-04-11 00:00:00,APR,167,0,0,0,0,167,-1,,,,,,,,,,,,
2026-04-18 00:00:00,APR,167,0,0,0,0,167,-1,,Department Updated 3/24,YTD Hired ,YTD Termed,,,,,,,,
2026-04-25 00:00:00,APR,167,0,0,0,0,167,-1,,MSQ WHS Ecomm Ship,0,1,,,,,,,,
2026-05-02 00:00:00,MAY,167,0,0,0,0,167,-1,,MSQ WHS Receiving,3,15,,,,,,,,
2026-05-09 00:00:00,MAY,167,0,0,0,0,167,-1,,MSQ WHS Shipping,20,25,,,,,,,,
2026-05-16 00:00:00,MAY,167,0,0,0,0,167,-1,,MSQ WHS Transfers,0,2,,,,,,,,
2026-05-23 00:00:00,MAY,167,0,0,0,0,167,-1,,MSQ WHS UPH Line Clearing,0,3,,,,,,,,
2026-05-30 00:00:00,MAY,167,0,0,0,0,167,-1,,MSQ WHS UPH Receiving,3,6,,,,,,,,
2026-06-06 00:00:00,JUN,167,0,0,0,0,167,-1,,TOTAL HIRE VS TO ,26,52,208.0,34736.0,,,,,,
2026-06-13 00:00:00,JUN,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-06-20 00:00:00,JUN,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-06-27 00:00:00,JUN,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-07-04 00:00:00,JUL,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-07-11 00:00:00,JUL,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-07-18 00:00:00,JUL,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-07-25 00:00:00,JUL,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-08-01 00:00:00,AUG,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-08-08 00:00:00,AUG,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-08-15 00:00:00,AUG,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-08-22 00:00:00,AUG,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-08-29 00:00:00,AUG,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
2026-09-05 00:00:00,SEP,167,0,0,0,0,167,-1,,,17.87,10,40.0,6680.0,,,,,,
,,,,,,,,,,,17.87,10,40.0,6680.0,,,,,,
,,,,,,,,,,,17.87,10,40.0,6680.0,,,,,,
