UPH Line Clearing,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,28,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,28.1,UPH Line Clearing.1
UPH Line Clearing Invoice Potential,,,,UPH Line Clearing HC Review,,,,,,,,UPH Line Clearing Capacity Review,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40 Hours,,,,,,45 Hours,,,50 Hours,,,55 Hours,,,,,,,,,,
Week,Period,PCS FCST,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,Daily Working Hours,Weekly Working Hours,OT%,Total Hours,Capacity (40),Weekly Working Hours,Total Hours,Capacity (45),Weekly Working Hours,Total Hours,Capacity (50),Weekly Working Hours,Total Hours,Capacity (55),,,,,,,,
2026-02-14 00:00:00,FEB,6234,,13,,,,1.5745,,14.5745,,12.07,,,0.1219,516.53,,,,,,,,,,,,,,,,,,
2026-02-21 00:00:00,FEB,5559,,12,,,,0.778,,12.778,,11.93,,,0.0668,465.92,,,,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,5433,,12,,,,0.52575,,12.52575,,12.12,,,0.0469,448.11,,,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,4781,,11,,,,0.5405,,11.5405,,12,,,0.0543,398.49,,,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,4920,,12,,,,0.06575,,12.06575,,11.86,,,0.0063,414.8,,,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,4408,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,3529,,11,0,0,0,0,0.05,10.45,,12,10,40,,418,5016,45,470.24999999999994,5643,50,522.5,6270,55,574.75,6897,,,,,,,,
2026-04-04 00:00:00,APR,4240,,11,0,0,0,0,0.05,10.45,,12,10,40,,418,5016,45,470.24999999999994,5643,50,522.5,6270,55,574.75,6897,,,,,,,,
2026-04-11 00:00:00,APR,3572,,11,0,0,0,0,0.05,10.45,,12,10,40,,418,5016,45,470.24999999999994,5643,50,522.5,6270,55,574.75,6897,,,,,,,,
2026-04-18 00:00:00,APR,6143,,11,0,0,0,0,0.05,10.45,,12,10,40,,418,5016,45,470.24999999999994,5643,50,522.5,6270,55,574.75,6897,,,,,,,,
2026-04-25 00:00:00,APR,4598,,11,0,0,0,0,0.05,10.45,,12,10,40,,418,5016,45,470.24999999999994,5643,50,522.5,6270,55,574.75,6897,,,,,,,,
2026-05-02 00:00:00,MAY,6230,,11,0,0,0,0,0.05,10.45,,12,10,40,,418,5016,45,470.24999999999994,5643,50,522.5,6270,55,574.75,6897,,,,,,,,
2026-05-09 00:00:00,MAY,6236,,11,0,0,0,0,0.05,10.45,,12,10,40,,418,5016,45,470.24999999999994,5643,50,522.5,6270,55,574.75,6897,,,,,,,,
