Billable Capacity Review,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Ecomm Capacity Review,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Outbound Total Capacity Review,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Week,PCS FCST,4 WK FUT AVG,WoW Capacity +/-,Capacity (40),Capacity (45),Capacity (50),Capacity (55),Week,PCS FCST,4 WK FUT AVG,WoW Capacity +/-,Capacity (40),Capacity (45),Capacity (50),Capacity (55),Week,PCS FCST,Capacity (40),Capacity (45),Capacity (50),Capacity (55)
2026-03-28 00:00:00,29576,31588.5,-,36590,41164,45737.99999999999,50311.799999999996,2026-03-28 00:00:00,7206,6486.5,-,3515,3954,4393.75,4833.125,2026-03-28 00:00:00,36782,40105,45118,50131.74999999999,55144.925
2026-04-04 00:00:00,35583,32466.75,0.20310386800108196,37944,42687,47430,52173,2026-04-04 00:00:00,7305,6070.75,0.013738551207327226,3515,3954,4393.75,4833.125,2026-04-04 00:00:00,42888,41459,46641,51823.74999999999,57006.12499999999
2026-04-11 00:00:00,32953,32784.25,-0.0739116994070202,37944,42687,47430,52173,2026-04-11 00:00:00,5857,5824.5,-0.19822039698836413,3515,3954,4393.75,4833.125,2026-04-11 00:00:00,38810,41459,46641,51823.74999999999,57006.12499999999
2026-04-18 00:00:00,28242,31510.75,-0.14296118714532818,37944,42687,47430,52173,2026-04-18 00:00:00,5578,6015.5,-0.04763530817824825,3515,3954,4393.75,4833.125,2026-04-18 00:00:00,33820,41459,46641,51823.74999999999,57006.12499999999
2026-04-25 00:00:00,33089,31853,0.1716238226754479,37944,42687,47430,52173,2026-04-25 00:00:00,5543,6216.75,-0.00627465041233417,3515,3954,4393.75,4833.125,2026-04-25 00:00:00,38632,41459,46641,51823.74999999999,57006.12499999999
2026-05-02 00:00:00,36853,30611.5,0.11375381546737587,37944,42687,47430,52173,2026-05-02 00:00:00,6320,6725.75,0.14017679956702148,3515,3954,4393.75,4833.125,2026-05-02 00:00:00,43173,41459,46641,51823.74999999999,57006.12499999999
2026-05-09 00:00:00,27859,29752.5,-0.24405068786801618,37944,42687,47430,52173,2026-05-09 00:00:00,6621,7474.75,0.04762658227848101,3515,3954,4393.75,4833.125,2026-05-09 00:00:00,34480,41459,46641,51823.74999999999,57006.12499999999
2026-05-16 00:00:00,29611,30709.75,0.06288811515129761,37944,42687,47430,52173,2026-05-16 00:00:00,6383,7350.75,-0.03594623168705634,3515,3954,4393.75,4833.125,2026-05-16 00:00:00,35994,41459,46641,51823.74999999999,57006.12499999999
2026-05-23 00:00:00,28123,32826,-0.05025159569079059,37944,42687,47430,52173,2026-05-23 00:00:00,7579,7187,0.18737270875763748,3515,3954,4393.75,4833.125,2026-05-23 00:00:00,35702,41459,46641,51823.74999999999,57006.12499999999
