Transfer Out,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,28,Outbound Xfers
Transfer Out Invoice Potential,,,,,,,Transfer Out HC Review,,,,,,,,Transfer Out Capacity Review,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40 Hours,,,,,,45 Hours,,,50 Hours,,,55 Hours,,,,,,,,,,
Week,Period,PCS FCST,UPH ,CG ,UPH %,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,Daily Working Hours,Weekly Working Hours,OT%,Total Hours,Capacity (40),Weekly Working Hours,Total Hours,Capacity (45),Weekly Working Hours,Total Hours,Capacity (50),Weekly Working Hours,Total Hours,Capacity (55),,,,,,,,
2026-02-14 00:00:00,FEB,947,,,,,4,,,,0.006750000000000001,,4.00675,,17.63,,,0.005,53.72,,,,,,,,,,,,,,,,,,
2026-02-21 00:00:00,FEB,1697,,,,,4,,,,0.60175,,4.60175,,19.4,,,0.2751,87.47,,,,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,2440,,,,,3,,,,0.321,,3.321,,19.57,,,0.103,124.67,,,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,2296,,,,,3,,,,0.20950000000000002,,3.2095000000000002,,19.24,,,0.0702,119.33,,,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,1954,,,,,3,,,,0.01925,,3.01925,,22,,,0.0087,88.8,,,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,3672,,,,,0,,,,0,,0,,0,,,0,0,,,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,2301.310486922883,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-04-04 00:00:00,APR,1327.8636290667807,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-04-11 00:00:00,APR,1241.778749518881,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-04-18 00:00:00,APR,635.339042026858,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-04-25 00:00:00,APR,4248.796376286418,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-05-02 00:00:00,MAY,5473.501176401388,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-05-09 00:00:00,MAY,1413.9554338751657,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-05-16 00:00:00,MAY,1033.218851719139,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-05-23 00:00:00,MAY,1079.2585879072126,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-05-30 00:00:00,MAY,1132.9992898491469,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-06-06 00:00:00,JUN,1457.2986505983197,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-06-13 00:00:00,JUN,1588.7293314551957,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-06-20 00:00:00,JUN,1755.920167960944,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-06-27 00:00:00,JUN,1832.3086844368013,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-07-04 00:00:00,JUL,3290.1676452410384,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-07-11 00:00:00,JUL,1083.324274506097,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-07-18 00:00:00,JUL,2239.8546630270585,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-07-25 00:00:00,JUL,2032.4310049390183,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-08-01 00:00:00,AUG,1646.9319162901068,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-08-08 00:00:00,AUG,883.2139550979799,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-08-15 00:00:00,AUG,1285.3748419721871,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-08-22 00:00:00,AUG,1871.4153880697552,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-08-29 00:00:00,AUG,1193.110016010646,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
2026-09-05 00:00:00,SEP,1324.2521043771044,,,,,3,0,0,0,0,0.1,2.7,,18,10,40,,108,1944,45,121.50000000000001,2187,50,135,2430,55,148.5,2673,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
