Unnamed: 0,OVERTIME (OT) PERFORMANCE DASHBOARD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Saturday | 04/04/2026 | WEEK 14,Unnamed: 15
,"Year-to-Date 2026  |  Reporting Period: January – March 2026  |  Last Updated: March 20, 2026",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,OVERALL OT% BY SITE,,,,,,,YTD OT SUMMARY BY SITE,,,,,,KEY METRICS,
,Site,Regular Hours,OT Hours,Total Hours,OT %,Status,,Site,OT Hours,OT Cost,% of Total,Status,,YTD Total OT Hours,101846.48760000005
,Arcadia,112722.72510000005,10239.549599999997,131112.2747,0.0780975665583506,▲ MEDIUM,,Arcadia,10239.549599999997,426051.57000000007,0.20107810963919776,▲ MEDIUM,,YTD Total OT Cost,3680567.34
,Leesport,104514.0464,4310.168999999998,108824.21539999999,0.039606708710532075,● NORMAL,,Leesport,4310.168999999998,158545.17,0.0846405035965128,● NORMAL,,YTD Average OT%,0.07651974237069466
,Advance,94925.60700000002,11343.449600000002,106269.0566,0.10674273361338942,▲ HIGH,,Advance,11343.449600000002,392877.4399999999,0.22275583316238,▲ HIGH,,Sites Above 5% OT,4
,Mesquite,58980.029699999985,2282.7306,61262.76030000001,0.037261308318815654,● NORMAL,,Mesquite,2282.7306,72545.73,0.04482688905218563,● NORMAL,,,
,Redlands,87903.2894,6119.8232,94023.11260000005,0.06508849825080133,▲ MEDIUM,,Redlands,6119.8232,218115.4500000001,0.12017740315278187,▲ MEDIUM,,DEPARTMENT OT GOALS,
,Ecru,141130.13269999996,16627.5218,164000.1545,0.10138723253458885,▲ HIGH,,Ecru,16627.5218,572148.3099999999,0.3265212613969419,▲ HIGH,,Department,Goal
,TOTAL,600175.8303,50923.2438,665491.5741000001,0.07651974237069456,▲ MEDIUM,,TOTAL,50923.2438,1840283.67,1,▲ MEDIUM,,Shipping - Non-Ecomm,0.0815
,,,,,,,,,,,,,,Ecomm Shipments,0.0596
,OT% BY SITE BY WEEK,,,,,,,,,,STATUS LEGEND,,,CG - Receiving,0.0874
,Site,2026-02-14 00:00:00,2026-02-21 00:00:00,2026-02-28 00:00:00,2026-03-07 00:00:00,2026-03-14 00:00:00,Avg OT%,Trend,WoW Δ,,● NORMAL,≤ 5.00%,,UPH - Receiving,0.076
,Arcadia,0.08028918970433092,0.09212747867925981,0.0961748797881798,0.10093174647949119,0.11470087812133876,0.09684483455452012,↑,0.013769131641847579,,▲ MEDIUM,5.01% – 8.33%,,UPH Line Clearing,0.1042
,Leesport,0.013975888279164623,0.029492510749316504,0.02582809031270855,0.061235718205994584,0.10209627137677642,0.04652569578479213,↑,0.040860553170781834,,▲ HIGH / CRITICAL,Above Dept. Goal,,DOM Line Clearing,0.01
,Advance,0.13760515353274885,0.14732860438781478,0.14609394093355157,0.1207863996191438,0.16515012414354713,0.14339284452336123,↑,0.044363724524403333,,,,,Outbound Xfers,0.0707
,Mesquite,0.02562347116362599,0.0455934148558709,0.06590665442640734,0.08033021222280162,0.052269270138979966,0.05394460456153716,↓,-0.028060942083821656,,,,,TOTAL,0.0833
,Redlands,0.062131757482745825,0.08941122860322394,0.09853950078529798,0.089929227288985,0.07884870908004077,0.08377208464805871,↓,-0.011080518208944234,,,,,,
,Ecru,0.10002368936246239,0.11555736314694096,0.1333629534304203,0.17901833953752885,0.17329754694831884,0.1402519784851343,↓,-0.005720792589210016,,,,,,
,,,,,,,,,,,,,,,
,OT% BY DEPARTMENT / ACTIVITY,,,,,,,TRENDS & COMPARISONS,,,,,,,
,Activity Type,Regular Hours,OT Hours,Total Hours,OT %,Status,,Metric,Current Wk,Prior Wk,Variance,,,,
,Shipping - Non-Ecomm,268882.6296000001,26106.723799999996,299519.90339999995,0.08716189977243428,▲ HIGH,,Total OT Hours,8328.224300000002,7518.016299999998,+810  ▲,,,,
,CG - Receiving,143415.5969,10355.902900000005,156524.49980000005,0.06616154604060266,▲ MEDIUM,,Total OT %,0.1256224956461846,0.11530559322355251,+1.03%  ▲,,,,
,UPH - Receiving,60013.01459999999,2874.485799999999,64097.50040000001,0.044845520996322635,● NORMAL,,OT Labor Cost,304164.8399999999,273546.18,"+$30,619  ▲",,,,
,UPH Line Clearing,74322.33369999997,8272.931899999998,86095.21560000001,0.0960904951842643,▲ MEDIUM,,Headcount w/ OT,1553,1594,-41  ▼,,,,
,Ecomm Shipments,24612.999500000005,1373.4399,26351.439400000007,0.05212010923395705,▲ MEDIUM,,Avg OT/Employee,5.36 hrs,4.72 hrs,+0.65  ▲,,,,
,Outbound Xfers,23421.312800000003,1808.5382,27188.851000000002,0.0665176398958529,▲ MEDIUM,,,,,,,,,
,DOM Line Clearing,5507.943200000001,131.2213,5714.1645,0.02296421462840281,● NORMAL,,,,,,,,,
,TOTAL,600175.8303,50923.2438,665491.5741000001,0.07651974237069456,▲ MEDIUM,,,,,,,,,
,,,,,,,,,,,,,,,
,SITE VS ACTIVITY MATRIX — OT% HEATMAP,,,,,,,,,,,,,,
,Site,Shipping,CG Recv,UPH Recv,UPH LC,DOM LC,Ecomm,Transfers,Site Avg,,,,,,
,Arcadia,0.09637760625617922,0.037369682601112175,0.03164313275322783,0.10816977412110144,0.02296421462840281,0.05962470025209176,0.11079620743983049,0.0780975665583506,,,,,,
,Leesport,0.029629235388152833,0.056444853416713174,0.03621000891808614,0.03846732424112797,0,0.034075523475723256,0.03454123553989772,0.039606708710532075,,,,,,
,Advance,0.09577544739052223,0.14868774873412444,0.09296530615587408,0.1025026340638163,0,0.0566454054685482,0.038479815085301586,0.10674273361338942,,,,,,
,Mesquite,0.023976587457438973,0.035709258723803136,0.04678926347273708,0.059795289539447044,0,0.10145635829391017,0.05042752645996248,0.037261308318815654,,,,,,
,Redlands,0.09926207030776253,0.03560259816071253,0.018629192911733157,0,0,0.07377510648643101,0.043955924364826975,0.06508849825080133,,,,,,
,Ecru,0.12499427996835001,0.06557848606677995,0.06605183113631301,0.12014421087231075,0,0.010104859339557343,0.04215057250353956,0.10138723253458885,,,,,,
,Activity Avg,0.08716189977243428,0.06616154604060266,0.044845520996322635,0.0960904951842643,0.02296421462840281,0.05212010923395705,0.0665176398958529,0.07651974237069466,,,,,,
