UPH Line Clearing,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,5,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,5.1,UPH Line Clearing.1
UPH Line Clearing Invoice Potential,,,,UPH Line Clearing HC Review,,,,,,,,UPH Line Clearing Capacity Review,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40 Hours,,,,,45 Hours,,,50 Hours,,,55 Hours,,,,,,,,,,,
Week,Period,PCS FCST,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,Daily Working Hours,Weekly Working Hours,Total Hours,Capacity (40),Weekly Working Hours,Total Hours,Capacity (45),Weekly Working Hours,Total Hours,Capacity (50),Weekly Working Hours,Total Hours,Capacity (55),,,,,,,,,
2026-04-04 00:00:00,APR,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-04-11 00:00:00,APR,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-04-18 00:00:00,APR,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-04-25 00:00:00,APR,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-05-02 00:00:00,MAY,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-05-09 00:00:00,MAY,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-05-16 00:00:00,MAY,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-05-23 00:00:00,MAY,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-05-30 00:00:00,MAY,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-06-06 00:00:00,JUN,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-06-13 00:00:00,JUN,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-06-20 00:00:00,JUN,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-06-27 00:00:00,JUN,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
2026-07-04 00:00:00,JUL,0,,0,0,0,0,0,0,0,,0,10,40,0,0,45,0,0,50,0,0,55,0,0,,,,,,,,,
