Week Ending Date,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Unnamed: 10,Date,Total Adjusted OB Volume,Billable ,Ecomm
2026-03-07 00:00:00,56683.769,14334237.95,252.88081937529594,11454,1836119.67,160.3037951807229,68137.769,16170357.62,237.318565860294,,2026-03-28 00:00:00,63941.0,50791.0,13150.0
2026-02-28 00:00:00,59043.824,14724949.83,249.3901788949171,12560,2055613.75,163.66351512738854,71603.824,16780563.58,234.3528968508721,,2026-04-04 00:00:00,73436.0,59766.0,13670.0
2026-02-21 00:00:00,53194.734,13613923.52,255.9261508855369,17954,3024971.93,168.48456778433777,71148.734,16638895.45,233.86073812641558,,2026-04-11 00:00:00,58527.0,46331.0,12196.0
2026-02-14 00:00:00,52808.932,13420354.07,254.13038214823206,11800,2036080.95,172.54923305084745,64608.932,15456435.02,239.23062247801897,,2026-04-18 00:00:00,65057.0,53201.0,11856.0
2026-02-07 00:00:00,53992.769,13172272.25,243.96363613060853,9699,1516008.61,156.30566140839264,63691.769,14688280.86,230.61505576960815,,2026-04-25 00:00:00,61341.0,49607.0,11734.0
2026-01-31 00:00:00,54540.931,13761533.6,252.31570762882652,9745,1618673.6,166.10298614674193,64285.931,15380207.2,239.24686102780404,,2026-05-02 00:00:00,69933.0,56803.0,13130.0
2026-01-24 00:00:00,55819.803,13744365.75,246.22741413114625,9406,1531788.01,162.85222304911758,65225.803,15276153.76,234.20415015818202,,2026-05-09 00:00:00,57235.0,43432.0,13803.0
2026-01-17 00:00:00,57875.802,14222851.26,245.74780423777105,10016,1599450.4,159.68953674121406,67891.802,15822301.66,233.05172633361536,,2026-05-16 00:00:00,64254.0,50510.0,13744.0
2026-01-10 00:00:00,55022.843,13247241.35,240.75893988247753,10694,1833408.75,171.442748270058,65716.843,15080650.1,229.4792234617844,,2026-05-23 00:00:00,63734.0,46451.0,17283.0
2026-01-03 00:00:00,42424.921,10364049.39,244.29154246392116,13469,2286034.77,169.72564926869106,55893.921,12650084.16,226.32307652919894,,2026-05-30 00:00:00,67915.0,45679.0,22236.0
2025-12-27 00:00:00,40115.838,10149812.85,253.0126093838548,8278,1374729.7,166.0702705967625,48393.838,11524542.549999999,238.14070192159585,,2026-06-06 00:00:00,60664.0,48244.0,12420.0
2025-12-20 00:00:00,53941.88,13221588.74,245.10804480674386,9842,1532250.99,155.68492074781548,63783.88,14753839.73,231.30985023175137,,2026-06-13 00:00:00,59777.0,48086.0,11691.0
2025-12-13 00:00:00,63081.95,16026846.36,254.0639019561063,10236,1602284.44,156.5342360296991,73317.95,17629130.8,240.4476775469036,,2026-06-20 00:00:00,58546.0,46146.0,12400.0
2025-12-06 00:00:00,65024.734,16693252.95,256.72158766539513,22940,4035030.38,175.89495989537926,87964.734,20728283.33,235.64310818014863,,2026-06-27 00:00:00,59401.0,44359.0,15042.0
2025-11-29 00:00:00,51552.861,12956448.67,251.32356223643922,18029,2997342.72,166.25119085917134,69581.861,15953791.39,229.28089534713652,,2026-07-04 00:00:00,67373.0,48074.0,19299.0
2025-11-22 00:00:00,70274.83,16668510.08,237.19032945366072,11906,1918283.66,161.1190710566101,82180.83,18586793.74,226.1694575243399,,2026-07-11 00:00:00,65909.0,49416.0,16493.0
2025-11-15 00:00:00,55805.897,13577999.85,243.30761765194816,11004,1724872.34,156.74957651762995,66809.897,15302872.19,229.0509771329239,,2026-07-18 00:00:00,57871.0,53117.0,4754.0
2025-11-08 00:00:00,54395.787,13321365.07,244.89700038718075,9435,1443984.91,153.04556544780073,63830.787,14765349.98,231.3201931851475,,2026-07-25 00:00:00,56772.0,52735.0,4037.0
Total,995602.105,247221603.54,248.3136609479145,218467,35966929.57999999,164.63323788032056,1214069.105,283188533.12,233.25569521019975,,2026-08-01 00:00:00,61390.0,57230.0,4160.0
,,,,,,,,,,,2026-08-08 00:00:00,58685.0,54449.0,4236.0
% Billable Freight,0.820053900473812,,,,,,,,,,2026-08-15 00:00:00,59015.0,54881.0,4134.0
% Ecomm Freight,0.179946099526188,,,,,,,,,,2026-08-22 00:00:00,58384.0,54304.0,4080.0
Total ASP,233.25569521019975,,,,,,,,,,2026-08-29 00:00:00,60651.0,55584.0,5067.0
,,,,,,,,,,,2026-09-05 00:00:00,66462.0,60198.0,6264.0
,,,,,,,,,,,2026-09-12 00:00:00,59972.0,55769.0,4203.0
Sum of Units_Gross,Column Labels,,,Ecomm,Shipping,,,,,,Grand Total,1429811.0,1169196.0,260615.0
Row Labels,Redlands Ecomm,Redlands Shipping,Grand Total,%,%,,,,,,,,,
2024-10-12 00:00:00,6362,45820,53153,0.11969220928263692,0.862039771979004,,,,,,,,,
2024-10-19 00:00:00,6293,45266,51559,0.12205434550708896,0.8779456544929111,,,,,,,,,
2024-10-26 00:00:00,5866,44103,49969,0.11739278352578598,0.882607216474214,,,,,,,,,
2024-11-02 00:00:00,5667,51000,56667,0.10000529408650537,0.8999947059134946,,,,,,,,,
2024-11-09 00:00:00,6114,42580,48694,0.1255596172012979,0.8744403827987021,,,,,,,,,
2024-11-16 00:00:00,8315,54304,62619,0.13278717322218497,0.8672128267778151,,,,,,,,,
2024-11-23 00:00:00,11736,62129,73865,0.15888445136397483,0.8411155486360252,,,,,,,,,
2024-11-30 00:00:00,18794,38877,57671,0.32588302613098435,0.6741169738690156,,,,,,,,,
2024-12-07 00:00:00,20582,58504,79086,0.26024833725311686,0.7397516627468831,,,,,,,,,
2024-12-14 00:00:00,10604,52100,62704,0.16911201837203368,0.8308879816279663,,,,,,,,,
2024-12-21 00:00:00,8208,49630,57838,0.14191362080293232,0.8580863791970677,,,,,,,,,
2024-12-28 00:00:00,7875,31633,39508,0.19932671863926293,0.8006732813607371,,,,,,,,,
2025-01-04 00:00:00,9482,45186,54668,0.17344698909782688,0.8265530109021731,,,,,,,,,
2025-01-11 00:00:00,8525,51090,59615,0.14300092258659733,0.8569990774134026,,,,,,,,,
2025-01-18 00:00:00,7583,50615,58198,0.1302965737654215,0.8697034262345785,,,,,,,,,
2025-01-25 00:00:00,8263,48719,56982,0.1450107051349549,0.8549892948650452,,,,,,,,,
2025-02-01 00:00:00,7551,49412,56963,0.13255973175570107,0.867440268244299,,,,,,,,,
2025-02-08 00:00:00,9116,53320,62436,0.14600550964187328,0.8539944903581267,,,,,,,,,
2025-02-15 00:00:00,8885,52952,61837,0.14368420201497487,0.8563157979850251,,,,,,,,,
2025-02-22 00:00:00,14456,47004,61460,0.23520989261308167,0.7647901073869183,,,,,,,,,
2025-03-01 00:00:00,10441,50749,61190,0.1706324562837065,0.8293675437162935,,,,,,,,,
2025-03-08 00:00:00,10392,60480,70872,0.1466305452082628,0.8533694547917372,,,,,,,,,
2025-03-15 00:00:00,9525,57348,66873,0.14243416625543942,0.8575658337445606,,,,,,,,,
Grand Total,221606,1142821,1364427,0.16241689734958337,0.8375831026504166,,,,,,,,,
