Case Good Receive,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,1,Unnamed: 31,Unnamed: 32,1.1,CG - Receiving
CG Receive Invoice Potential,,,,,,,CG Receive HC Review,,,,,,,,CG Receive Capacity Review,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40 Hours,,,,,,45 Hours,,,50 Hours,,,55 Hours,,,,,,,
Week,Period,PCS FCST,4 WK Average,PO,TO,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,Daily Working Hours,Weekly Working Hours,OT%,Total Hours,Capacity (40),Weekly Working Hours,Total Hours,Capacity (45),Weekly Working Hours,Total Hours,Capacity (50),Weekly Working Hours,Total Hours,Capacity (55),,,,,
2026-02-14 00:00:00,FEB,41651,45510,,,,55.439499999999995,,,,0.80525,,56.244749999999996,,17.5,,,0.0135,2379.79,,,,,,,,,,,,,,,
2026-02-21 00:00:00,FEB,45967,47977.5,,,,53.8535,,,,1.0394999999999999,,54.892999999999994,,20.29,,,0.0184,2265.73,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,50974,45828,,,,55.69425,,,,2.9695,,58.66374999999999,,21.01,,,0.049,2426.55,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,43448,39572.75,,,,51.3125,,,,1.60575,,52.91825,,20.01,,,0.0296,2171.73,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,51521,44595,,,,58.448,,,,2.9699999999999998,,61.418,,20.64,,,0.0476,2496.72,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,37369,41427.75,,,,0,,,,0,,0,,0,,,0,0,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,25953,45342.25,58,19,,59,0,0,0,0,0.069,54.929,,20,10,40,,2197.16,43943,45,2471.8050000000003,49436,50,2746.4500000000003,54929.00000000001,55,3021.0950000000003,60421.90000000001,,,,,
