UPH Line Clearing,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,1,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,1.1,UPH Line Clearing.1
UPH Line Clearing Invoice Potential,,,,UPH Line Clearing HC Review,,,,,,,,UPH Line Clearing Capacity Review,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40 Hours,,,,,,45 Hours,,,50 Hours,,,55 Hours,,,,,,,,,,
Week,Period,PCS FCST,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,Daily Working Hours,Weekly Working Hours,OT%,Total Hours,Capacity (40),Weekly Working Hours,Total Hours,Capacity (45),Weekly Working Hours,Total Hours,Capacity (50),Weekly Working Hours,Total Hours,Capacity (55),,,,,,,,
2026-02-14 00:00:00,FEB,23956,,33,,,,7.30625,,40.30625,,14.38,,,0.1754,1665.92,,,,,,,,,,,,,,,,,,
2026-02-21 00:00:00,FEB,24106,,35,,,,6.813,,41.813,,13.67,,,0.1545,1764.07,,,,,,,,,,,,,,,,,,
2026-02-28 00:00:00,FEB,20459,,33,,,,1.863,,34.863,,13.48,,,0.0491,1517.98,,,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,MAR,22047,,33,,,,3.34825,,36.34825,,13.45,,,0.0817,1639.06,,,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,MAR,21942,,36,,,,3.31125,,39.31125,,13.78,,,0.0831,1592.87,,,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,19186,,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,16971,,34,0,0,0,0,0.0824,31.1984,,14,10,40,,1247.936,17471,45,1403.9279999999999,19654,50,1559.92,21838.88,55,1715.912,24022.768,,,,,,,,
2026-04-04 00:00:00,APR,19824,,34,0,2,0,0,0.0824,31.1984,,14,10,40,,1247.936,17471,45,1403.9279999999999,19654,50,1559.92,21838.88,55,1715.912,24022.768,,,,,,,,
2026-04-11 00:00:00,APR,20627,,36,0,2,0,2,0.0824,35.0336,,14,10,40,,1401.344,19618,45,1576.512,22071,50,1751.68,24523.52,55,1926.848,26975.872,,,,,,,,
2026-04-18 00:00:00,APR,20890,,38,1,1,0,3,0.0824,37.8688,,14,10,40,,1514.752,21206,45,1704.096,23857,50,1893.44,26508.16,55,2082.784,29158.976000000002,,,,,,,,
2026-04-25 00:00:00,APR,19424,,38,1,1,0,0,0.0824,34.8688,,14,10,40,,1394.752,19526,45,1569.096,21967,50,1743.44,24408.16,55,1917.784,26848.976000000002,,,,,,,,
2026-05-02 00:00:00,MAY,23206,,38,1,1,0,0,0.0824,34.8688,,14,10,40,,1394.752,19526,45,1569.096,21967,50,1743.44,24408.16,55,1917.784,26848.976000000002,,,,,,,,
