1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1  ,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,1  ,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia,Arcadia
CG,Casegoods,,,,,,,,,,,,UPH,Upholstery,,,,,,,,,,,,,Total,,,,,,,,,,,
,Start,Billable,Ecomm,IB,CG-LC,UPH-LC,OB Trans,End,Capacity ,% Utilized,Max Capacity,$ Utilized,,Start,Billable,Ecomm,IB,CG-LC,UPH-LC,OB Trans,End,Capacity ,% Utilized,Max Capacity,$ Utilized,,Start,Billable,Ecomm,IB,CG-LC,UPH-LC,OB Trans,End,Capacity ,% Utilized,Max Capacity,$ Utilized
2026-02-14 00:00:00,412341,46359,7736,43298,47846,0,24219,425171,477532,0.8903508037157719,477532,0.8903508037157719,,73874,27544,61,11627,0,23956,4293,77559,100004,0.7755589776408943,100004,0.7755589776408943,,486215,73903,7797,54925,47846,23956,28512,502730,577536,0.8704738752216312,577536,0.8704738752216312
2026-02-21 00:00:00,427675,47477,9911,47038,44220,0,35741,425804,477532,0.891676369332317,477532,0.891676369332317,,77465,29783,61,12547,0,24106,4490,79784,100004,0.7978080876764929,100004,0.7978080876764929,,505140,77260,9972,59585,44220,24106,40231,505588,577536,0.8754224844858156,577536,0.8754224844858156
2026-02-28 00:00:00,431440,53134,8025,52177,43430,0,39552,426336,477532,0.8927904307983549,477532,0.8927904307983549,,80561,29277,68,11732,0,20459,4048,79359,100004,0.7935582576696932,100004,0.7935582576696932,,512001,82411,8093,63909,43430,20459,43600,505695,577536,0.8756077543218085,577536,0.8756077543218085
2026-03-07 00:00:00,425044,57112,6471,45190,43005,0,30871,418785,477532,0.8769778779223173,477532,0.8769778779223173,,79290,29060,73,10600,0,22047,3421,79383,100004,0.7937982480700772,100004,0.7937982480700772,,504334,86172,6544,55790,43005,22047,34292,498168,577536,0.8625748005319149,577536,0.8625748005319149
2026-03-14 00:00:00,420420,58107,6513,52802,45490,0,26933,427159,477532,0.8945138755099135,477532,0.8945138755099135,,79712,31221,85,9951,0,21942,4094,76205,100004,0.7620195192192313,100004,0.7620195192192313,,500132,89328,6598,62753,45490,21942,31027,503364,577536,0.871571642287234,577536,0.871571642287234
2026-03-21 00:00:00,426792,52370,6999,37914,43330,0,26934,421733,477532,0.8831512861965272,477532,0.8831512861965272,,74954,26757,85,7856,0,19186,2506,72648,100004,0.7264509419623215,100004,0.7264509419623215,,501746,79127,7084,45770,43330,19186,29440,494381,577536,0.8560176335328015,577536,0.8560176335328015
2026-03-28 00:00:00,428838,42056,,25953,36716,,25397,424054,477532,0.8880116934571924,477532,0.8880116934571924,,74360,25806,,11583,,16971,2848,74260,100004,0.7425702971881125,100004,0.7425702971881125,,503198,67862,0,37536,36716,16971,28245,498314,577536,0.8628275986258865,577536,0.8628275986258865
2026-04-04 00:00:00,424054,58951,,63537,37337,,17393,448584,477532,0.939379978723939,477532,0.939379978723939,,74260,25433,,11940,,19824,1701,78890,100004,0.7888684452621895,100004,0.7888684452621895,,498314,84384,0,75477,37337,19824,19094,527474,577536,0.9133179576684397,577536,0.9133179576684397
2026-04-11 00:00:00,448584,53206,,38852,35541,,16689,453082,477532,0.9487992427732592,477532,0.9487992427732592,,78890,25207,,8004,,20627,1150,81164,100004,0.811607535698572,100004,0.811607535698572,,527474,78413,0,46856,35541,20627,17839,534246,577536,0.925043633643617,577536,0.925043633643617
