FinancialDivision,(Multiple Items),CASE,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1  ,,,,,,15 ,,,,,,17 ,,,,,,28 ,,,,,,42 ,,,,,,5  ,,,,,,ECR,,,,,,335,,,,,,Total Sum of PurchaseOrderPcs,Total Sum of Containers,Total Sum of TransferInPcs,Total Sum of TransferInTrucks,Total Sum of TransferOutPcs,Total Sum of ProductionPcs,,,,,,,,,,,,,,,,
Row Labels,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,,,,,,,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,14518,57,6607,13,28189,43962,38499,124,7368,19,4179,0,32737,145,6828,19,3949,0,10895,53,13786,40,2629,0,0,0,0,0,0,0,11943,56,5464,16,3379,0,43952,194,38153,118,4718,0,18941,71,0,0,7348,0,171485,700,78206,225,54391,43962,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,32929,117,8808,17,16818,44920,61663,211,13217,29,4184,0,36860,125,18654,39,169,0,21492,67,9528,21,515,0,0,0,0,0,0,0,42096,142,17905,44,2276,0,23157,72,27052,68,1226,0,36390,100,0,0,8764,0,254587,834,95164,218,33952,44920,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,61212,191,6100,14,26705,37949,34870,131,8983,21,2729,0,28196,91,11499,28,258,0,17854,62,9482,24,200,0,0,0,0,0,0,0,32538,109,12033,31,2583,0,36526,138,13358,34,1596,0,34106,129,115,0,14974,0,245302,851,61570,152,49045,37949,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,52383,163,5803,13,15819,29324,49769,165,10801,27,3895,0,76501,301,13689,32,211,0,20745,84,8659,24,97,0,0,0,0,0,0,0,33557,131,9149,23,1460,0,54648,171,14852,41,3433,0,102073,374,0,0,16408,0,389676,1389,62953,160,41323,29324,,,,,,,,,,,,,,,,
2026-04-04 00:00:00,29867,88,8686,17,26128,41623,29070,106,9664,23,2732,0,39041,141,13408,31,183,0,17914,67,8422,22,82,0,0,0,0,0,0,0,40914,115,11375,25,1950,0,54343,212,11408,32,3713,0,84439,340,0,0,11305,0,295588,1069,62963,150,46093,41623,,,,,,,,,,,,,,,,
2026-04-11 00:00:00,28975,101,8374,17,26979,38148,35237,134,13525,31,2998,0,13683,53,16277,35,180,0,11273,43,12059,32,147,0,0,0,0,0,0,0,21812,66,11434,26,4075,0,20040,69,17280,47,2540,0,66500,270,0,0,10358,0,197520,736,78949,188,47277,38148,,,,,,,,,,,,,,,,
