Warehouse,WeekEnding,PurchaseOrderPcs,Containers,ProductionPcs,TransferInPcs,TransferInCubes,TransferInTrucks,TransferOutPcs,TransferOutCubes,TranferOutTrucks,FinancialDivision
1  ,2026-03-07,195,1,0,2866,19218,6,352,2577,1,Domestic Bedding
1  ,2026-03-07,0,0,43962,16,169,0,24099,183600,56,Domestic Casegoods
1  ,2026-03-07,1719,3,0,76,298,0,84,489,0,Import Bedding
1  ,2026-03-07,12604,53,0,3649,22755,7,3654,23930,7,Import Casegoods
1  ,2026-03-07,1327,22,0,177,4405,1,202,5765,2,Imported Upholstery
1  ,2026-03-07,20,0,21996,7328,364303,114,3388,143784,44,Upholstery
15 ,2026-03-07,238,1,0,745,5478,2,287,1706,1,Domestic Bedding
15 ,2026-03-07,431,3,0,6111,50586,16,121,2409,1,Domestic Casegoods
15 ,2026-03-07,8289,14,0,40,79,0,35,205,0,Import Bedding
15 ,2026-03-07,29541,106,0,472,3178,1,3736,17987,5,Import Casegoods
15 ,2026-03-07,2009,31,0,26,528,0,102,2920,1,Imported Upholstery
15 ,2026-03-07,0,0,0,0,0,0,0,0,0,Marketplace
15 ,2026-03-07,1900,33,13476,606,23593,7,1264,57793,18,Upholstery
17 ,2026-03-07,0,0,0,744,5016,2,1047,7628,2,Domestic Bedding
17 ,2026-03-07,2527,16,0,3992,39226,12,490,10139,3,Domestic Casegoods
17 ,2026-03-07,4198,7,0,143,578,0,74,632,0,Import Bedding
17 ,2026-03-07,26012,122,0,1949,16320,5,2338,11193,3,Import Casegoods
17 ,2026-03-07,2549,40,0,169,5053,2,143,4691,1,Imported Upholstery
17 ,2026-03-07,2369,36,12608,1462,63562,20,891,39244,12,Upholstery
28 ,2026-03-07,19,0,0,4072,29760,9,487,3763,1,Domestic Bedding
28 ,2026-03-07,0,0,0,7302,83639,26,142,1958,1,Domestic Casegoods
28 ,2026-03-07,1853,6,0,249,1258,0,11,67,0,Import Bedding
28 ,2026-03-07,9023,47,0,2163,17425,5,1989,11287,3,Import Casegoods
28 ,2026-03-07,1391,21,0,219,7096,2,165,5797,2,Imported Upholstery
28 ,2026-03-07,438,9,4849,6135,285024,89,653,27267,8,Upholstery
335,2026-03-07,0,0,0,0,0,0,0,0,0,Domestic Casegoods
335,2026-03-07,0,0,0,0,0,0,691,2627,1,Import Bedding
335,2026-03-07,18941,71,0,0,0,0,6657,35618,11,Import Casegoods
335,2026-03-07,3857,56,0,0,0,0,2,16,0,Imported Upholstery
335,2026-03-07,3465,61,0,0,0,0,0,0,0,Upholstery
42 ,2026-03-07,0,0,0,0,0,0,0,0,0,Domestic Casegoods
42 ,2026-03-07,0,0,0,0,0,0,0,0,0,Import Casegoods
42 ,2026-03-07,0,0,0,0,0,0,0,0,0,Upholstery
5  ,2026-03-07,0,0,0,2188,15216,5,183,1161,0,Domestic Bedding
5  ,2026-03-07,1034,7,0,1269,14539,5,78,1963,1,Domestic Casegoods
5  ,2026-03-07,1896,5,0,82,579,0,156,956,0,Import Bedding
