Saturday | 04/04/2026 | WEEK 14,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2026-04-04 00:00:00,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,WK 11 AVG OT ,AVG ABS,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
* Last Update 3/20/2026 *                     ,,,,,,,,,,,,,,,,,0.1144,0.11898333333333333,,,                                                          ,,,,,,
,,,,,,,,,,,,,,,,,,,,,WHS,TERM ,AVG ,,WEEK,WEEK ,
,,↑,,,↑,↓,,,,,,,,,,,,,,,RKD ,41,3.1538461538461537,,8,13,
↓  ARCADIA (1),WEEK 11 OT,0.1147,,4 Week Absenteeism AVG,ABS,ATTEND,,,30 Day Turnover / WoW,0.1429,,,,,,,,,RKD  ↓,,ADV,124,9.538461538461538,,,,
,2026 YTD OT GOAL,0.0669,,,0.13790000000000002,0.8621,,,90 Day Turnover / WoW,0.3333,,,,,,,,,,,LPT,51,3.923076923076923,,,,
,WEEK 10 OT ,0.1009,,,,,,,,,,,,,,,,,,,MSQ,63,4.846153846153846,,,,
Last Week's Payroll,,,Human Capital Metrics,,,,,Labor Planning File,,,,,,,,,,,,,RED,103,7.923076923076923,,,,
Department,Count of Employees,Previous WK,Department,Count of Employees,Allegiant,Total,Previous WK,Department,Count of Employees,8 Weeks,8,16 Weeks,16.0,,,,2026 YTD GOALS,PPH,OT,,ECR,145,11.153846153846153,,,,
SHIPPING,133,131,SHIPPING,136,6,142,134,SHIPPING,129,144,15,144,15.0,,,,Shipping - Non-Ecomm,15.260557677531184,0.07669617638837245,,SUM,567,44,,,,
ECOMM SHIP,5,5,ECOMM SHIP,6,1,7,5,ECOMM SHIP,5,5,0,5,0.0,,,,Ecomm Shipments,31.141401403389253,0.06214836202431149,,,,,,,,
RECEIVING,65,63,RECEIVING,65,5,70,67,RECEIVING,59,62,3,62,3.0,,,,CG - Receiving,18.986827220178498,0.036755646895217785,,,,,,,,
UPH RECEIVING,24,25,UPH RECEIVING,25,4,29,25,UPH RECEIVING,31,32,1,32,1.0,,,,UPH - Receiving,11.689000974453116,0.08503628369019556,,HEADCOUNT OVERVIEW ,,,,,,
UPH LINE CLEARING,34,32,UPH LINE CLEARING,35,6,41,35,UPH LINE CLEARING,34,38,4,38,4.0,,,,UPH Line Clearing,13.958450029391182,0.06898223484176269,,WHS,60 DAY NET HIRE NEEDS,60 DAY TURNOVER BACKFILL,60 DAY HIRING NEEDS SUM, 8 WEEK HIRE / WK,13 WEEK AVG TERMS,13 WEEK TERMS
DOM LINE CLEARING,15,15,DOM LINE CLEARING,15,0,15,15,DOM LINE CLEARING,13,13,0,13,0.0,,,,DOM Line Clearing,87.51949450224157,0.03475695599797917,,RKD ,23,25.23076923076923,48.230769230769226,6.028846153846153,3.1538461538461537,41
SHIP-TRANSFERS,15,15,SHIP-TRANSFERS,15,8,23,15,SHIP-TRANSFERS,22,24,2,24,2.0,,,,Outbound Xfers,48.51022798534001,0.08066537634180837,,ADV,13,76.3076923076923,89.3076923076923,11.163461538461538,9.538461538461538,124
Grand Total,291,286,Grand Total,297,30,327,,Grand Total,293,318,23,318,25.0,Net Hire Needs,,,2026 Total ,21.33,0.0669,,LPT,5,31.384615384615383,36.38461538461539,4.548076923076923,3.923076923076923,51
,,,,Allegiant Goal ,32,,,,,,3.1538461538461537,,3.1538461538461537,90 Day Terms,,,,,,,MSQ,0,38.76923076923077,38.76923076923077,4.846153846153846,4.846153846153846,63
,,,,,-2,,,,,,25.23076923076923,,50.46153846153846,TO Backfill,,,,,,,RED,9,63.38461538461539,72.38461538461539,9.048076923076923,7.923076923076923,103
,,,,,,,,,60 Day Recruiting Needs →,,48.230769230769226,,75.46153846153845,60 Day Hires SUM,,,,,,,ECR,31,89.23076923076923,120.23076923076923,15.028846153846153,11.153846153846153,145
Compared to HCM,-0.02020202020202022,,Compared to LWP,-0.08490566037735847,,,,Compared to HCM,-0.013468013468013518,,6.028846153846153,,4.716346153846153,Hires/Wk,,,,,,,,,,,,,
Compared to LPF,-0.0068259385665528916,,Compared to LPF,-0.06603773584905659,,,,Compared to LWP,-0.013468013468013518,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13 WK AVG TO →,3.1538461538461537,13,HR / WK ,,,,,,,,,,,,,,,,
,,,,,,,,SHIPPING,12,0.9230769230769231,↓,,,,,,,,,,,,,,,,
,,,,,,,,ECOMM SHIP,1,0.07692307692307693,,,,,,,,,,,,,,,,,
