Wednesday | 03/25/2026 | WEEK 13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
* Last Update 3/23/2026 *                     ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,RKD,,,,,,,,,
,Ø  60 DAY NET HIRE NEEDS,23.0,,,,,,,,
,Ø  60 DAY TURNOVER BACKFILL,25.23076923076923,,,,,,,,
,Ø  60 DAY HORIZON TOTAL HIRING NEEDS,48.230769230769226,,,,,,,,
,Ø  60 DAY TOP DEPT NEEDS: (+) 15 SHIPPING / 6 CG-R / 5 UPH-R ,,,,,,,,,
,,,,,,,,,,
,ADV,,,,,,,,,
,Ø  60 DAY NET HIRE NEEDS,13.0,,,,,,,,
,Ø  60 DAY TURNOVER BACKFILL,76.3076923076923,,,,,,,,
,Ø  60 DAY HORIZON TOTAL HIRING NEEDS,89.3076923076923,,,,,,,,
,Ø  60 DAY TOP DEPT NEEDS: (+) 4 UPH-LC / 3 CG-R / 3 SHIP (-) 2 UPH-R ,,,,,,,,,
,,,,,,,,,,
,LPT,,,,,,,,,
,Ø  60 DAY NET HIRE NEEDS,5.0,,,,,,,,
,Ø  60 DAY TURNOVER BACKFILL,31.384615384615383,,,,,,,,
,Ø  60 DAY HORIZON TOTAL HIRING NEEDS,36.38461538461539,,,,,,,,
,Ø  60 DAY TOP DEPT NEEDS: (+) 6 UPH-LC & 3 UPH-R (-) 2 TRANS ,,,,,,,,,
,,,,HEADCOUNT OVERVIEW ,,,,,,
,MSQ,,,WHS,60 DAY NET HIRE NEEDS,60 DAY TURNOVER BACKFILL,60 DAY HIRING NEEDS SUM, 8 WEEK HIRE / WK,13 WEEK AVG TERMS,13 WEEK TERMS
,Ø  60 DAY NET HIRE NEEDS,0.0,,RKD ,23,25.23076923076923,48.230769230769226,6.028846153846153,3.1538461538461537,41
,Ø  60 DAY TURNOVER BACKFILL,38.76923076923077,,ADV,13,76.3076923076923,89.3076923076923,11.163461538461538,9.538461538461538,124
,Ø  60 DAY HORIZON TOTAL HIRING NEEDS,38.76923076923077,,LPT,5,31.384615384615383,36.38461538461539,4.548076923076923,3.923076923076923,51
,Ø  60 DAY TOP DEPT NEEDS: STAFFED TO PLAN (+) 1 SHIP  ,,,MSQ,0,38.76923076923077,38.76923076923077,4.846153846153846,4.846153846153846,63
,,,,RED,9,63.38461538461539,72.38461538461539,9.048076923076923,7.923076923076923,103
,RED,,,ECR,31,89.23076923076923,120.23076923076923,15.028846153846153,11.153846153846153,145
,Ø  60 DAY NET HIRE NEEDS,9.0,,,,,,,,
,Ø  60 DAY TURNOVER BACKFILL,63.38461538461539,,,,,,,,
,Ø  60 DAY HORIZON TOTAL HIRING NEEDS,72.38461538461539,,60 DAY ,RKD,ADV,LPT,MSQ,RED,ECR
,Ø  60 DAY TOP DEPT NEEDS: (+) 9 SHIPPING ,,,Horizon Hiring Needs,48.230769230769226,89.3076923076923,36.38461538461539,38.76923076923077,72.38461538461539,120.23076923076923
,,,,Net Hiring Needs,23,13,5,0,9,31
,ECR,,,Turnover Hiring Needs,25.23076923076923,76.3076923076923,31.384615384615383,38.76923076923077,63.38461538461539,89.23076923076923
,Ø  60 DAY NET HIRE NEEDS,31.0,,,,,,,,
,Ø  60 DAY TURNOVER BACKFILL,89.23076923076923,,,,,,,,
,Ø  60 DAY HORIZON TOTAL HIRING NEEDS,120.23076923076923,,,,,,,,
,Ø  60 DAY TOP DEPT NEEDS: (+) 18 UPH-LC / 10 TRANS / 7 UPH-R (-) 18 SHIPPING  ,,,,,,,,,
