Case Good Receive,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
CG Receive Invoice Potential,,,,,,,CG Receive HC Review,,,,,,,,CG Receive Capacity Review,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40 Hours,,,,,45 Hours,,,50 Hours,,,55 Hours,,
Week,Period,PCS FCST,4 WK Average,PO,TO,,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Absenteeism,Working HC,,PPH,Daily Working Hours,Weekly Working Hours,Total Hours,Capacity (40),Weekly Working Hours,Total Hours,Capacity (45),Weekly Working Hours,Total Hours,Capacity (50),Weekly Working Hours,Total Hours,Capacity (55)
2026-03-07 00:00:00,MAR,45867,56292.5,124,19,,0,0,0,0,0,0,0,,14.3,10,40,0,0,45,0,0,50,0,0,55,0,0
2026-03-14 00:00:00,MAR,74880,54509.25,211,29,,0,0,0,0,0,0,0,,14.3,10,40,0,0,45,0,0,50,0,0,55,0,0
2026-03-21 00:00:00,MAR,43853,47979.75,131,21,,0,0,0,0,0,0,0,,14.3,10,40,0,0,45,0,0,50,0,0,55,0,0
2026-03-28 00:00:00,MAR,60570,44508,165,27,,0,0,0,0,0,0,0,,14.3,10,40,0,0,45,0,0,50,0,0,55,0,0
2026-04-04 00:00:00,APR,38734,36695.75,106,23,,0,0,0,0,0,0,0,,14.3,10,40,0,0,45,0,0,50,0,0,55,0,0
2026-04-11 00:00:00,APR,48762,35459.5,134,31,,0,0,0,0,0,0,0,,14.3,10,40,0,0,45,0,0,50,0,0,55,0,0
2026-04-18 00:00:00,APR,29966,31198.5,58,33,,0,0,0,0,0,0,0,,14.3,10,40,0,0,45,0,0,50,0,0,55,0,0
